序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人-适用时间段,高精质-适用时间段,未孕女性-适用时间段,备孕女性-适用时间段,待产女性-适用时间段,产后女性-适用时间段,已育女性-适用时间段
1,,整体,增高,\t睡眠充足有利于在晚上深睡眠时出现生长激素分泌高峰。,充足睡眠,少睡眠，激素缺，睡饱饱，长高高,\t每天最好有8～10小时的睡眠。,/photo/shuimiannv.jpg,,,睡眠,睡眠,,睡眠,睡眠
2,,整体,增高,\t牛奶中含有促进睡眠的L-色氨酸。,睡前喝牛奶,喝牛奶，助安眠，睡前饮，可安神,\t睡前1小时喝杯牛奶可助睡眠。,/photo/niunai.jpg,,,睡前,睡前,,睡前,睡前
3,,整体,增高,\t现代人的生活节奏快、工作压力大，泡个热水澡能减少身体疲劳，缓解压力，提高睡眠质量。,泡热水澡,热水澡，减疲劳，缓压力，助安眠,\t泡澡时水温宜42度以下；可以在泡澡水中加入适量精油。,/photo/paozao.jpg,,,睡前,睡前,,睡前,睡前
4,,整体,增高,\t现代人的生活节奏快、工作压力大，泡脚能减少身体疲劳，缓解压力，提高睡眠质量。,睡前泡脚,热水澡，减疲劳，缓压力，助安眠,\t建议用木桶泡脚，水温40℃左右，泡15-20分钟。,/photo/mutongpaojiao.jpg,,,睡前,睡前,,睡前,睡前
5,,整体,增高,\t多晒太阳有利于促进身体物质合成，帮助人体获得维生素D。 ,多晒太阳,晒太阳，补钙质，增维D，助长高,\t别晒过头了，适度就行。,/photo/shaitaiyang.jpg,,,醒来-平静-起床,醒来-平静-起床,,醒来-平静-起床,醒来-平静-起床
6,,五官,眼睛浮肿,\t避免用眼过度。,勿过劳,眼睛肿，忌过度，勤休息，常闭目,\t工作1小时就休息一下眼睛，做做眼保健操，闭目养养神。,/photo/yanbaojiancao.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
7,,五官,眼睛浮肿,\t熬夜降低血液循环系统效率，使身体来不及将体内多余的废水排出去，水分滞留在微血管内，甚至回渗到皮肤中，便产生了膨胀浮肿现象。,不熬夜,不熬夜，促循环，眼浮肿，需早眠,\t白天尽量早点把事情做完，晚上早点上床休息。,/photo/buaoye.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
8,,五官,眼睛浮肿,\t促进眼部血液循环。,冷水洗脸,眼睛肿，因循环，用冷水，常洗面,\t洗脸的时候，使用冷水洗，可刺激眼部血液循环，达到消除浮肿的作用，热胀冷缩的原理大家也都知道，这是消除浮肿最快最简单的方法了。,/photo/lengshuixilian.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
9,,五官,眼睛浮肿,\t促进眼部血液循环。,用稍高的枕头,眼睛肿，因循环，用高枕，助安眠,\t检查一下自己平时睡的枕头，如果太低的话，就换一个稍高点的枕头吧。,/photo/zhentou.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
10,,五官,眼睛浮肿,\t喝酒后血液被酒精稀释，血液循环加快，导致血液与组织间隙间的渗透压加大，造成局部水肿。眼睑部的皮下组织是人体最松弛的体表部位，所以，水肿首先表现在这里。,睡前勿饮酒,入睡前，勿饮酒，促循环，去水肿,\t如果睡前实在想喝点东西的话，就把酒杯换成水杯吧。,/photo/buxujiu.png,睡前,睡前,睡前,睡前,睡前,睡前,睡前
11,,五官,眼睛浮肿,\t促进眼部血液循环。,木板斜卧,眼睛肿，因循环，日斜卧，促循环,\t每天斜卧在一块斜面木板上几分钟，借此姿势增加头面血液循环。,/photo/xiemuban.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
12,,五官,眼睛浮肿,\t促进眼部血液循环。,涂眼霜,眼睛肿，因循环，涂眼霜，皮紧绷,\t在眼睛四周涂抹一些眼霜，促进眼睛四周的血液循环，使皮肤紧绷。,/photo/yanshuang.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
13,,五官,眼睛浮肿,\t温冷疗法利用温度差，促进眼部血液循环，使眼睛周围收缩紧实。,温冷毛巾敷眼,温冷法，促循环，巾敷眼，去浮肿,"\t用毛巾包着保冷剂或者浸透沾满化妆水的化妆棉和温毛巾交替进行，静置5到6分钟马上就会看到效果,如果敷得更久的话会让眼部更加紧实哦！",/photo/wenlengmaojinfuyan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
14,,五官,眼睛浮肿,\t茶叶中所含的单宁酸是一种很好的收剑剂，可有效消除浮肿。,茶包敷眼,单宁酸，助收敛，隔夜茶，去浮肿,\t将泡过的隔夜茶包，进行敷眼，10分钟后拿下洗净。,/photo/chabaofuyan.jpeg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
15,,五官,眼睛浮肿,\t小黄瓜具有紧肤消除浮肿的作用。,黄瓜敷眼,小黄瓜，敷眼周，十分钟，去浮肿,\t1、将小黄瓜洗净切片，将切成薄皮的小黄瓜敷在眼部，10分钟后取下洗净即可。\n\t2、天气寒冷小黄瓜会有冰冷的感觉，所以不需要冷藏了。,/photo/huangguafuyan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
16,,五官,眼球晦暗,\t长时间看一个东西，会伤耗大量的肝血，导致用眼疲劳。,避免长时间看书,眼疲劳，易伤肝，常眺望，宜保健,\t看一段时间后，可向远处眺望，或做眼保健操来缓解眼部疲劳。,/photo/kanshu.jpg,主任务1,主任务1,,,,,
17,,五官,眼球晦暗,\t长时间看一个东西，会伤耗大量的肝血，导致用眼疲劳。,避免长时间看电视,眼疲劳，易伤肝，常眺望，宜保健,\t看一段时间后，可向远处眺望，或做眼保健操来缓解眼部疲劳。,/photo/dianshi.jpg,睡前,睡前,,,,,
18,,五官,眼球晦暗,\t长时间看一个东西，会伤耗大量的肝血，导致用眼疲劳。,避免长时间玩电脑,眼疲劳，易伤肝，常眺望，宜保健,\t看一段时间后，可向远处眺望，或做眼保健操来缓解眼部疲劳。,/photo/diannao.jpg,主任务2,主任务2,,,,,
19,,五官,眼球晦暗,\t长时间看一个东西，会伤耗大量的肝血，导致用眼疲劳。,避免长时间打游戏,眼疲劳，易伤肝，常眺望，宜保健,\t看一段时间后，可向远处眺望，或做眼保健操来缓解眼部疲劳。,/photo/dayouxi.jpg,主任务1,睡前,,,,,
20,,五官,眼球晦暗,\t中医上有“久坐伤肾”的说法，久坐不动会压迫位于臀部和大腿部的膀胱经，造成膀胱经气血运行不畅，导致膀胱功能失常，而肾又与膀胱相表里，所以膀胱受伤势必会影响到肾，而肾又是生血的器官。所以久坐会导致人气血双虚。,不要久坐不动,长久坐，易压迫，气血虚，需调和,\t每间隔一两个小时就站起来活动下筋骨，让浑身的气血能够充盈通畅、气血调和。,/photo/bujiuzuo.jpg,主任务1,主任务1,,,,,
21,,五官,眼球晦暗,\t出汗过多导致气血过度消耗，而致气血两亏。,运动适度，勿过量,出汗多，气血虚，动适度，方可保,\t在运动的时候，只要浑身微微发汗就可以了，切莫让自己累得满头大汗才觉得有效果，凡事都应适可而止。,/photo/shiduyundong.jpg,主任务1,主任务2,,,,,
22,,五官,迎风流泪,\t作息规律，注意保养，增强体质。,早睡早起,规作息，注保养，早睡起，强体质,\t早睡早起是对身体最好的保养方式。,/photo/zaoshuizaoqi.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
23,,五官,迎风流泪,\t作息规律，注意保养，增强体质。,不熬夜或太晚睡觉,规作息，注保养，不熬夜，强体质,\t晚上11点前要上床睡觉。,/photo/11dian.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
24,,五官,迎风流泪,\t避免眼部遭受冷风、烟尘刺激。,不要待在有刺激性气体或烟尘的屋中或环境中,避冷风，远烟尘，莫刺激，常通风,\t尽量避免在刺激性的环境中停留过长时间。,/photo/yanchen.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
25,,五官,迎风流泪,\t减轻眼疲劳或减少眼疲劳的发生，进而消除因眼疲劳引发的流泪不适症状。,佩戴防护眼镜,减疲劳，去不适，避强光，注防护,\t平时驾车、骑车者在气候变更或光照强烈时，应配戴防护眼镜。,/photo/fanghuyanjiing.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
26,,五官,迎风流泪,\t减轻眼疲劳或减少眼疲劳的发生，进而消除因眼疲劳引发的流泪不适症状。,及时矫正屈光不正,减疲劳，去不适，避强光，及矫正,\t远视、散光等应及时矫正，配戴适度眼镜。,/photo/quguangbuzheng.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
27,,五官,迎风流泪,\t揉眼睛或滥用药物，会加重症状。,不揉眼睛或自用、滥用药物,勿揉眼，忌滥药，速就医，免延误,\t眼部出现涩痒不适或灼热、泪出等症，应及时就医，以免延误病情。,/photo/burouyanjing.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
28,,五官,眼袋,\t黄瓜具有补水消肿的作用。,黄瓜敷眼,黄瓜片，补水分，消肿胀，擦眼霜,\t1、将黄瓜切薄片敷在清洁好的眼部皮肤上，5分钟换一片，20分钟后取下洗净，再擦上眼霜。\n\t2、但记住敷完后不要晒太阳，因为这个时候皮肤非常干净细薄，很容易被晒伤，出现雀斑。,/photo/huangguafuyan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
29,,五官,眼袋,\t冰块具有消肿镇痛的作用，可以快速消除眼袋。,冰敷,用冰块，消水肿，镇痛感，除眼袋,\t可用无菌纱布包裹住两三粒冰块，清洁好眼部，将包裹好的冰块放在眼袋上上面。,/photo/bingfu.gif,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
30,,五官,眼袋,\t睡觉之前喝过多的水很容易引起眼睛水肿，这是因为大量的水滞留在了皮肤的毛细血管中，使人看起来浮肿。特别是在眼睛皮肤细嫩，毛细血管较多的地方，水肿的痕迹会更加明显。,睡前1小时不大量喝水,睡觉前，少饮水，防水肿，去眼袋,\t可以试着在睡觉前半小时喝下100毫升左右白开水，这样能够给身体时间慢慢吸收代谢喝下去的水。,/photo/shui.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
31,,五官,眼袋,\t眼霜可增强眼部皮肤表皮细胞活力，使皮肤光泽富有弹性。使用后可收紧眼袋。,选择合适的眼霜,涂眼霜，增活力，有光泽，富弹性,\t要选用质地清爽的产品，油分太多的眼霜，比较难吸收，容易产生油脂粒。,/photo/yanshuang.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
32,,五官,眼袋,\t利用高渗透压力的原理，将水分由低往高引流，藉此将水分排出。,盐水敷眼睛,高渗透，水引流，排废水，去浮肿,\t将盐融化在水中，然后用化妆棉蘸取盐水敷在眼睛浮肿位置。,/photo/yanshuifuyan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
33,,五官,眼袋,\t给肌肤补充胶原蛋白。出现眼袋是因为皮肤中胶原蛋白流失，皮肤细胞没有支撑体，皮肤变得松弛，眼袋就出现了。,敷胶原蛋白眼膜,补蛋白，敷眼膜，防松弛，除眼袋,\t每星期敷两次含胶原蛋白的眼膜。,/photo/yanmo.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
34,,五官,黑眼圈,\t促进新陈代谢，加快血液循环。,泡澡,促代谢，快循环，常泡澡，淡眼圈,\t每天泡澡半小时。,/photo/xizao1.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
35,,五官,黑眼圈,\t过度揉眼睛会伤害肌肤，使肌肤出现黯沉感。,不要揉眼睛,勿揉眼，保肌肤，易暗沉，淡眼圈,\t改掉喜欢揉眼睛的毛病。,/photo/burouyanjing.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
36,,五官,黑眼圈,\t促进新陈代谢，加快血液循环。,冷热交替敷眼,促代谢，快循环，冷热替，敷眼睛,\t1、准备的物品：脸盆、微波炉、保鲜膜、两条毛巾。\n\t2、在脸盆内倒入冷水，再加入冰块，再将毛巾浸泡1分钟左右制成冰毛巾(若没有冰块可用冰水代替)。\n\t3、毛巾变冷后拧去水分，但注意不要拧得太干，否则毛巾会无法保持温度。\n\t4、将另一条毛巾完全浸湿后，用保鲜膜包好放进微波炉里加热大约1分钟备用。\n\t5、仰头，将冰毛巾折叠敷在眼睛上，直到觉得脖子累时停止。\n\t6、此时换热毛巾敷眼睛，冷热交替让血液循环更佳。记住，必须冷热敷交替做5次。\n\t7、注意！热敷可别烫伤肌肤。在热敷时，务必注意热毛巾的温度不超过42℃，否则会加快肌肤老化。,/photo/fuyan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
37,,五官,黑眼圈,\t紫外线导致黑色素生成并残留在表皮，使用防晒霜可以帮助机体抵抗紫外线。,养成搽防晒霜的习惯,紫外线，黑色素，防晒霜，淡眼圈,\t就算只出门10分钟、即使是阴天也要养成搽防晒霜的习惯，否则黑色素就会找上你。,/photo/fangshai.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
38,,五官,黑眼圈,\t利用眼膜的密闭效果让有效成分完全渗透，进行集中美白。,敷美白眼膜,用眼膜，易渗透，助美白，淡眼圈,\t每周敷两次具有美白功效的眼膜，让眼周肌肤变匀净。,/photo/yanmo.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
39,,五官,黑眼圈,\t尽量避免刺激眼周肌肤。,上妆或卸妆时绝对不可揉搓眼睛,避刺激，护肌肤，轻上妆，护眼周,\t上妆或卸妆时动作要轻柔，不刺激眼周肌肤。,/photo/huazhuang.jpg,,,睡前,睡前,睡前,睡前,睡前
40,,五官,睫毛短且稀疏,\t上睫毛短小、稀疏解决方法：以拉长—浓密—再拉长的方式创造假睫毛的效果。,拉长—浓密—再拉长,助拉长，变浓密，再生长，梳纤维,"
\t1.化妆用品准备：\n\t1）使用浓密型与纤长型两种睫毛膏，纤长型拉长睫毛长度，浓密型加强卷翘度与浓密度。\n\t2）一只小钢梳，边刷睫毛膏，边把纠结在一起的睫毛梳开，创造根根分明的效果。\n\t2.化妆步骤：\n\t1）大睫毛夹夹过睫毛后，再利用局部睫毛夹补强。\n\t2）用手指将眼皮轻轻拉起，用睫毛底膏打底，可在睫毛尾端多刷几次，增加睫毛长度。\n\t3）先用纤长型的睫毛膏刷拭，增加睫毛长度。\n\t4）再用浓密型的睫毛膏，加强刷拭睫毛根部，利用睫毛膏的蜡质从下方来撑住睫毛的卷翘度。\n\t5）接着，直拿浓密型的睫毛膏，轻顶一下眼尾睫毛，从根部往上拉，可让眼尾又翘又浓。\n\t6）最后再用一次纤长型睫毛膏，局部在眼尾的睫毛尾端拉出一点纤维来，让眼尾睫毛显得特别的长。",/photo/71CE30A1307230A4D28D4841B1432EA3.jpg,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
41,,五官,睫毛短且稀疏,\t下睫毛短小、稀疏解决方法：除了利用睫毛底膏凸现下睫毛以外，再配合眼影、眼线，让下睫毛茂盛起来。,眼影、眼线，茂盛下睫毛,睫毛短，常稀疏，睫毛膏，配眼影,\t1.化妆用品准备：\n\t1）使用浓密型与纤长型两种睫毛膏，纤长型拉长睫毛长度，浓密型加强卷翘度与浓密度。\n\t2）一只小钢梳，边刷睫毛膏，边把纠结在一起的睫毛梳开，创造根根分明的效果。\n\t2.具体步骤：\n\t1）选择具有珠光的浅肤色眼影，在下睫毛根部轻刷，利用光感来突出睫毛的存在感。\n\t2）先用黑色的笔，架在下睫毛卧蚕处，接着直接刷上睫毛底膏，可让原本稀疏，看不到，不知道从何刷起的下睫毛变明显。\n\t3）选择刷头小的睫毛膏，将睫毛膏直拿，局部以直线方向轻拉下睫毛尾端就好。\n\t4）然后再横拿这只小刷头睫毛膏，从下睫毛根部开始，轻轻往下，刷过每根下睫毛。\n\t5）再直拿回来，再次直向梳理睫毛，同时轻轻压睫毛，让睫毛往下垂，这样会有放大眼睛的效果。\n\t6）最后使用笔尖很细的眼线液，在睫毛根部轻点，不要画眼线，只是轻点，也可以再次增加睫毛的存在感。,/photo/xiajiemao.PNG,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
42,,五官,睫毛短且稀疏,\t凡士林对睫毛的增长效果并不十分明显，但能够使睫毛变粗变亮，变得更加强韧。,涂擦凡士林 ,凡士林，粗睫毛，适量涂，更强韧,\t睡觉前涂抹适量即可，不要涂抹太多，另外涂抹时注意别弄进眼睛里。,/photo/f191d8b3888a4a478adf15aeb428d783_th.jpg,,,睡前,睡前,睡前,睡前,睡前
43,,五官,睫毛短且稀疏,\t芦荟汁可以增长睫毛，但是用芦荟有一个缺点就是眼袋可能会浮肿。,涂抹芦荟,芦荟胶，长睫毛，常涂抹，更水润,\t1.用新鲜的芦荟汁涂抹睫毛。\n\t2.建议不出门或者有条件的时候使用。,/photo/8254e45f338e46a5a77d32a700451812_th.jpg,,,睡前,睡前,睡前,睡前,睡前
44,,五官,睫毛短且稀疏,\t睫毛增长液是效果最快，也是非常靠谱的办法。因为成分含有生物酶“EPM”，能够制造毛发细胞并形成组织，激活休眠的细胞从而快速增长睫毛。,睫毛增长液,增长液，生物酶，生毛发，增睫毛,\n\t每天晚上洗漱完之后，在睫毛根部涂上睫毛生长液，一天可使用多次。,/photo/2951bf0fe5484dc29fe3753b13699fd8_th.jpg,,,睡前,睡前,睡前,睡前,睡前
45,,五官,睫毛短且稀疏,\t维生素E可以滋养睫毛增长。,涂维生素E,维生素，多滋养，增睫毛，涂眼角,\n\t每晚睡前取一粒VE刺破，然后用眼影笔把它刷在睫毛上，一定要用刷子，不然满手都是眼油。刷的时候一定要仔细，要确保每一根睫毛都均匀地抹上了VE，眼角睫毛稀疏的地方更不能错过。,/photo/ff616e06830a4b58a8f544bdd53f408c_th.jpg,,,睡前,睡前,睡前,睡前,睡前
46,,五官,睫毛短且稀疏,\t隔夜茶水能够刺激毛囊的血液循环，让毛囊焕发活力，长出新的睫毛。,涂隔夜茶水,隔夜茶，刺毛囊，促循环，焕活力,\n\t拿最小号刷子把隔夜茶水刷在睫毛根部。,/photo/nongcha.jpg,,,睡前,睡前,睡前,睡前,睡前
47,,五官,口臭,\t食物残留在口腔中发酵，形成腐败物，造成口臭。,保持牙齿清洁卫生,食残留，易口臭，勤刷牙，助清洁,\t1、养成早晚刷牙的习惯，除了使用牙刷，还可以用牙间刷去除牙齿间的污垢。\n\t2、在牙膏上蘸些盐，会更有清洁效果。,/photo/shuaya.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
48,,五官,口臭,\t食物残留在口腔中发酵，形成腐败物，造成口臭。,清洁牙龈,食残留，易口臭，勤刷牙，助清洁,"\t1、将牙刷以45°角贴在牙龈上，用适度的力量摩擦牙龈。\n\t2、刷牙龈时不必使用牙膏，但可使用少量盐。\n\t3、如果患有牙周炎，请及早进行治疗。
",/photo/yayin.jpeg,洗漱更衣,睡前,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
49,,五官,口臭,\t龋坏的牙齿中的腐物易产生一种腐败的恶臭气味。,治疗蛀牙,龋齿坏，易腐败，早治疗，防恶化,\t如果有蛀牙，请及早进行治疗。,/photo/zhuya.jpg,主任务1,主任务1,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
50,,五官,口臭,\t口腔中脱落的上皮细胞，堆积在味蕾的沟槽里，成为口腔厌氧菌的食物来源。尤其是舌头的后方，唾液不易清理到这个部位，厌氧菌容易滋生，并分解倒流的鼻涕，以及堆积的食物残渣。,刷掉表面舌苔保持口腔清洁,厌氧菌，易口臭，残渣腐，需清洁,\t1、用牙刷从舌根方向向舌尖单向轻刷表面舌苔。\n\t2、刷的力度不要太大，以免伤到舌头。\n\t3、现在市面上有的牙刷背面可以直接刷舌苔，也可选用专门的舌苔刷。,/photo/shetai.jpg,洗漱更衣,睡前,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
51,,五官,口臭,\t促进口腔的唾液分泌。,平时多喝水,多喝水，泌唾液，助清洁，防口臭,\t以每天8杯水为宜。,/photo/shui.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
52,,五官,口臭,\t促进口腔的唾液分泌。,吃饭细嚼慢咽,细咀嚼，慢吞咽，促分泌，防口臭,\t放慢吃饭速度，慢慢咀嚼。,/photo/jujue.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
53,,五官,牙齿黑黄,\t保持牙齿洁白不变色。,勤刷牙和使用牙线,勤刷牙，用压线，白牙齿，不变色,\t勤刷牙，刷牙时用压线为宜。,/photo/shuaya.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
54,,五官,牙齿黑黄,\t木炭像一块磁铁，将脏东西或者毒素轻松吸收干净，这一功能同样适用于牙齿美白。,活性炭粉末美白牙齿,活性炭，美牙白，清毒素，常漱口,\t1、将等量的水和活性炭粉末（可以在保健商店购买），搅拌均匀后将混合物倒入口中。\n\t2、像漱口一样，鼓动两腮与唇部，使混合物在口腔内充分与牙齿接触。\n\t3、鼓动1分钟后，将混合物置于牙齿前面停留五分钟，然后吐出来，并用清水多冲洗几次，将活性炭粉末全部清洗出来。,/photo/huoxingtan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
55,,五官,牙齿黑黄,\t深色食物中含有的黑色素容易在牙齿表面沉积。,吃完深色食物漱口,深色食，黑色素，易沉积，常漱口,\t咖啡、红酒、巧克力、泡菜、咖哩等等吃完之后，在颜色留在牙齿上之前立刻漱口。,/photo/hongjiu.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
56,,五官,牙齿黑黄,\t常吸烟的人，牙齿上会出现一层黑黄色的烟垢，用牙膏很难刷掉，但用醋刷便能使牙齿去垢洁白。,用醋除牙垢,常吸烟，有牙垢，醋刷牙，使洁白,\t含半口食醋，在口腔里含漱2-3分钟，然后吐出，再用力刷牙，最后用清水洗净，反复几次可除烟垢。,/photo/cu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
57,,五官,牙齿黑黄,\t柠檬中的烟酸能有效去除牙垢，洗净力强，又有牙齿变白作用，且含有维他命C，能强固齿根。,柠檬汁去除牙垢,柠檬酸，除牙垢，助洗净，牙变白,\t刷完牙后，沾柠檬汁擦每一颗牙齿。用纱布沾些柠檬汁，摩擦牙齿。,/photo/ningmeng.jpg,洗漱更衣,睡前,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
58,,五官,牙齿黑黄,\t草莓是一种天然牙齿增白剂，富含苹果酸和维生素C，维生素C可以清除牙渍美白牙齿。苹果酸让人感觉涩涩的，其实它的作用也是去除牙齿表面污渍。混合小苏打，就是美白牙齿的明星组合！,草莓小苏打糊美白牙齿,苹果酸，配维C，洁牙齿，助美白,\t1、将几颗草莓粉碎成浆，然后加入半汤匙小苏打，混合均匀。\n\t2、用软毛牙刷涂于牙齿内外侧，大概5分钟后用清水冲洗干净。,/photo/caomei.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
59,,五官,牙齿松动,\t饭后用茶水漱口，可以及时将口腔及牙齿间的残渣冲掉。茶叶含氟量高，有效防蛀。甜食等带来的酸使得牙齿表面脱矿，容易致龋，而氟化物可以促进牙齿再矿化。再次，茶叶中所含的茶多酚也具有较强清除自由基作用，对致龋的变形链球菌有一定抑制作用。,食毕茶水漱口,每餐后，茶漱口，抑球菌，防龃齿。,\t每餐后用茶水漱口。,/photo/cha.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
60,,五官,牙齿松动,\t如经常使用单侧牙齿咀嚼，则不常用的一侧会缺少生理性刺激，易发生组织的雇用性萎缩；经常咀嚼的一侧牙齿负荷过重，易造成牙髓炎。咀嚼也能刺激唾液分泌，而唾液具有修复牙齿的能力。,注意咀嚼动作,两侧牙，交替用，细咀嚼，修牙齿。,\t咀嚼时，交替使用两侧牙齿。,/photo/jujue.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
61,,五官,牙齿松动,\t临睡前刷牙是为了彻底清除口腔内的食物残渣，防止口腔内微生物生长。,临睡刷牙,临睡前，记刷牙，除残渣，抑细菌。,\t刷牙的时间最好选择在晚上临睡前。刷牙的方法应顺着牙缝上下刷，从里至外地磨刷，动作要轻缓。选择的毛刷不应太硬，应注意及时更换，使其既能起到应有的刷磨作用，又不至于损伤牙龈。,/photo/shuaya.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
62,,五官,牙齿松动,\t清除口腔内的残留物，以防口腔内细菌对其的分解及发酵，根除细菌赖以生存的培养基，防止了细菌对口齿的侵蚀。,赶字保健法,清残留，防发酵，除养分，免侵蚀。,\t每次就餐后刷牙之前，把洗净的食指和拇指伸进口腔，捏住牙龈，顺牙的方向推赶（如挤牛奶样），把积存在牙周袋中的残留物“赶”出来。,/photo/gan.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
