序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人-适用时间段,高精质-适用时间段,未孕女性-适用时间段,备孕女性-适用时间段,待产女性-适用时间段,产后女性-适用时间段,已育女性-适用时间段
63,,五官,牙齿松动,\t清除口腔内的残留物，以防口腔内细菌对其的分解及发酵，根除细菌赖以生存的培养基，防止了细菌对口齿的侵蚀。,提字保健法,清残留，防发酵，除养分，免侵蚀。,\t1、经过推赶后，再用较小的牙刷，顺牙齿的方向从牙缝向外“提”的方法刷牙，把赶挤在牙缝中积存的食物残渣等提刷出去。\n\t2、上牙向下提刷，下牙向上提刷，臼齿采用转动提插法。,/photo/ti.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
64,,五官,牙齿松动,\t清除口腔内的残留物，以防口腔内细菌对其的分解及发酵，根除细菌赖以生存的培养基，防止了细菌对口齿的侵蚀。,漱字保健功,清残留，防发酵，除养分，免侵蚀。,\t1、经过“赶”、“提”后，把牙周袋中的残留物排在口腔中，还要进行漱口，将遗留在口中及牙齿上的残留物漱掉。一般用2～5%的食盐水较好。,/photo/sukou.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
65,,五官,酒渣鼻,\t胃肠功能紊乱是酒渣鼻的致病因素之一，因此要积极防治便秘。,保持大便通畅，防止便秘发生,养习惯，通大便，防紊乱，治便秘。,\t养成良好排便习惯，要规律排便，不要时间过长。,/photo/paibianzhuyilijizhong.jpg,如厕,如厕,"如厕
",如厕,如厕,如厕,如厕
66,,五官,酒渣鼻,\t减少日光、过冷、过热和其他可以引起面部皮肤充血的刺激。,不酗酒,减日光，防过冷，避过热，免刺激。,\t减少和避免饮酒。,/photo/buxujiu.png,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
67,,五官,酒渣鼻,\t减少日光、过冷、过热和其他可以引起面部皮肤充血的刺激。,慎喝冰饮料,减日光，防过冷，避过热，免刺激。,\t减少和避免喝冰饮料。,/photo/buheyinliao.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
68,,五官,酒渣鼻,\t减少日光、过冷、过热和其他可以引起面部皮肤充血的刺激。,慎喝热饮料,减日光，防过冷，避过热，免刺激。,\t减少和避免喝热饮料。,/photo/reyin.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
69,,五官,酒渣鼻,\t减少日光、过冷、过热和其他可以引起面部皮肤充血的刺激。,避光防晒,减日光，防过冷，避过热，免刺激。,\t1、夏季外出时戴帽子，避免强光照射。\n\t2、使用防晒霜。,/photo/fangshai.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
70,,五官,酒渣鼻,\t酒渣鼻皮肤血管经常膨胀，时常充血和发热，若不注意防护可能使症状加重。,做好局部防护,做防护，勿抓挠，忌膨胀，防加重。,\t禁止在鼻子病变区抓、搔、剥及挤压。,/photo/jiuzhabi.jpeg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
71,,头发,发质干枯,\t头皮上的皮脂腺分泌的皮脂里富含脂肪酸。这些皮脂既能够润泽头发，又能起到抑菌的作用。洗发的次数的确不是固定的，而是应该根据自己的头发状态和所处环境而定。,掌握好洗发频率,洗发率，情况定，脂肪酸，润秀发。,\t1、根据自己头发出现“油腻”的情况，适当增减洗发频率。\n\t2、如果是油性头发，可以每天洗发1次；如果是中性或干性的头发，每周洗发次数控制在2~4次。\n\t3、经常在户外工作的人及脑力工作者，也可适当增加洗发的次数。夏天气温较高，汗液排泄旺盛，头发易脏，洗发次数也可以适当增加。,/photo/xitou.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
72,,头发,发质干枯,\t干枯的头发是由于水分流失使发质变干及长时间缺乏护理或化学物质残留在发尖所引起的。,选择适合的洗发产品,洗发露，要选对，防干枯，维生素。,\t最好使用含有复合维生素的顺滑性洗发水。,/photo/xifashui.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
73,,头发,发质干枯,\t使用发膜能够富平头发的毛躁，理顺纤维，使头发更加柔顺。,使用发膜护理,用发膜，平毛躁，修纤维，更柔顺。,\t干枯敏感的发质宜使用含高蛋白的滋润型发膜产品，比如高蛋白发膜，可日常使用。,/photo/famo.jpg,,,睡前,睡前,睡前,睡前,睡前
74,,头发,发质干枯,\t头长时间下垂，会影响头部的正常血液循环，造成脑供血不足，对头发生长也不利。,注意洗头姿势,洗头时，直立势，勿下垂，利生长。,\t最好采取在淋浴时直立的洗头姿势，而且要让身体调整到最舒服的状态。,/photo/xitou.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
75,,头发,发质干枯,\t洗头时头部血液循环加快，头皮毛孔张开，容易受风，因为洗发时间要尽量选择气温较稳定时。,洗头时间的选择,洗头时，循环快，气温稳，免受风。,\t洗完头一定要注意擦干、吹干头发再出门或者再睡。,/photo/chuifengji.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
76,,头发,发质干枯,\t干洗头发的时间太长，很可能会对头发和头皮造成损伤。,干洗头发时间勿过长,干洗头，勿时长，防发损，免皮伤。,\t1、干洗头发的时间不宜超过6分钟。\n\t2、干洗头发不能太勤，最好和水洗的方式交错进行。\n\t3、如果要进行长时间按摩，最好将洗发水用水冲净后再进行，这样化学物质便不会损伤头发和头皮了。,/photo/ganxitou.png,主任务2,主任务2,主任务2,主任务2,,,主任务2
77,,头发,发质干枯,\t洗发时水温过高或过低，都会损伤头发，导致发质受损。,洗发的最佳水温,控水温，忌过高，勿过低，防发损。,\t不管是什么季节，洗发时的水温最好控制在38℃左右，这种稍高于体温的温度对头发最好。,/photo/shuiwen.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
78,,头发,发质干枯,\t水是润发和洗发的大功臣。滋润头发的不是护发素，而是水。洗发水与护发素在洗护的过程中扮演的是“锁水”的角色，再高端的滋润成分，论渗透效果都会败给普通的水。,洗发时充分打湿头发,洗发时，要打湿，更渗透，更滋润。,\t在使用洗发水之前，认真冲洗1分钟可以去除头发表面80%的油污。,/photo/dashitoufa.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
79,,头发,发质干枯,\t洗头是先洗发根还是先洗发梢不是一成不变的，要根据头发的情况决定洗发的顺序。,根据头发的情况来选择洗发顺序,洗发根，洗发梢，有顺序，看情况。,\t1.油性头发的人可以直接从发根洗起，以清洁头皮。\n\t2.对于受损发质的人而言，为了减轻对秀发的二次伤害，最好避免一开始就让洗发水的泡沫接触到脆弱的头皮。特别是当天涂过定型产品的人，应该先从抹了定型剂的部分开始搓。,/photo/zhuyixifashunxu.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
80,,头发,发质干枯,\t啫喱类的定型剂最容易清洗，其次是发胶与摩丝，最难搞定的是发蜡。发蜡中含有很重的油分，光靠日常的洗发水通常是搞不定的。而护发素不但能滋润发丝，还能乳化发蜡中的油分。,秀发卸妆,定型剂，难清洗，需护理，防干枯。,\t1.在使用洗发水前，先往打了发蜡的头发上抹一些护发素，轻轻揉搓后再冲洗，就能轻松卸除发蜡。\n\t2.酒精成分会掠夺发丝中的水分，所以在使用含有这种成分的定型产品后，需要适当延长冲洗的时间。,/photo/xiufaxiezhuang.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
81,,头发,发质干枯,\t头发在打湿之后会带上负电荷，洗发水也一样。头发里的油脂和定型剂里的油分本身都带着正离子。根据物理学上“异性相吸”的原理，湿发很容易与洗发水的泡沫结合。,使用洗发膏，尽量不要使劲揉搓,洗发时，不揉搓，洗发水，自中和。,\t好洗发水富含负离子，不需要费力揉搓就能洗干净。,/photo/bushijinroucuo.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
82,,头发,发质干枯,\t掌握温度差是掌控护发素的关键，因为与人体皮肤相近的温度能将护发素成分的渗透能力提高约3倍。,掌心预热护发素后，再涂在头发上,护发素，用掌心，先预热，更渗透。,\t使用护发素时，先低下头把头发拢到前方，然后从发梢开始抹护发素。可以用宽齿梳从后颈向发梢方向梳理，这样既能让护发素均匀地分布在头发上，又能避免沾到头皮。,/photo/yurehufasu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
83,,头发,发质干枯,\t洗发水中的泡沫在接触到头发上的油污后会立刻破掉，所以油污越多泡沫越少。,尽量不要多次洗发,洗头发，忌多次，防干枯，更美丽。,\t在第一遍洗发时没有产生大量泡沫时，才需要再洗一次。,/photo/buduocixifa.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
84,,头发,白发,\t经常用手指梳理头发，能使气血流畅，头皮光润，促进头发健康生长，并且可以防治脱发、白发。,手指梳头,指梳头，促气血，润头皮，防脱发。,\t1、每日早、午、晚运动锻炼后空闲时， 以双手十指自额上发际开始，由前向后梳拢头发至后发际。\n\t2、动作要缓慢柔和，边梳边揉搓头皮，每次约10分钟。,/photo/shouzhishutou.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
85,,头发,白发,\t水是润发和洗发的大功臣。滋润头发的不是护发素，而是水。洗发水与护发素在洗护的过程中扮演的是“锁水”的角色，再高端的滋润成分，论渗透效果都会败给普通的水。,洗发时充分打湿头发,洗发时，要打湿，更渗透，更滋润。,\t在使用洗发水之前，认真冲洗1分钟可以去除头发表面80%的油污。,/photo/shuiwen.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
86,,头发,白发,\t啫喱类的定型剂最容易清洗，其次是发胶与摩丝，最难搞定的是发蜡。发蜡中含有很重的油分，光靠日常的洗发水通常是搞不定的。而护发素不但能滋润发丝，还能乳化发蜡中的油分。,秀发 “卸妆”,定型剂，难清洗，需护理，防干枯。,\t1、在使用洗发水前，先往打了发蜡的头发上抹一些护发素，轻轻揉搓后再冲洗，就能轻松卸除发蜡。\n\t2、酒精成分会掠夺发丝中的水分，所以在使用含有这种成分的定型产品后，需要适当延长冲洗的时间。,/photo/hufasu.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
87,,头发,白发,\t头发在打湿之后会带上负电荷，洗发水也一样。头发里的油脂和定型剂里的油分本身都带着正离子。根据物理学上“异性相吸”的原理，湿发很容易与洗发水的泡沫结合。,使用洗发膏，尽量不用使劲揉搓,洗发时，不揉搓，洗发水，自中和。,\t使用品质好的洗头膏，冲洗的时候就不用那么使劲地揉搓了。,/photo/xifashui.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
88,,头发,白发,\t洗发时注意保护脆弱的头皮。,根据头发的情况来选择洗发顺序,洗发根，洗发梢，有顺序，看情况。,\t1、油性头发的人可以直接从发根洗起，以清洁头皮。\n\t2、对于受损发质的人而言，为了减轻对秀发的二次伤害，最好避免一开始就让洗发水的泡沫接触到脆弱的头皮。特别是当天涂过定型产品的人，应该先从抹了定型剂的部分开始搓洗。,/photo/xitou.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
89,,头发,白发,\t拔白头发会引发头皮炎症，因为同一个毛囊会生长数根头发，如果强硬将白头发拔除，会影响其他健康头发的生长，从而引起脱发等。,不拔白头发,白头发，不要拔，损健康，易脱发。,\t如果无法容忍白头发的存在，可以贴着头皮将白头发剪掉。,/photo/p7528181a408363045.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
90,,头发,白发,\t洗发水中的泡沫在接触到头发上的油污后会立刻破掉，所以油污越多泡沫越少。不要多次洗发，以免损伤头发。,尽量不要多次洗发,洗头发，忌多次，防干枯，更美丽。,\t只有在第一遍洗发时没有产生大量泡沫时，才需要再洗一次。,/photo/xitou.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
91,,头发,脱发,\t经常用手指梳理头发，能使气血流畅，头皮光润，促进头发健康生长，并且可以防治脱发、白发。,手指梳头,指梳头，促气血，润头皮，防脱发。,\t1、每日早、午、晚运动锻炼后空闲时， 以双手十指自额上发际开始，由前向后梳拢头发至后发际。\n\t2、动作要缓慢柔和，边梳边揉搓头皮，每次约10分钟。,/photo/shouzhishutou.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
92,,头发,脱发,\t洗发时水温过高或过低，都会损伤头发，导致发质受损。,洗发的最佳水温,洗发时，调水温，保发质，更护发。,\t不管是什么季节，洗发时的水温最好控制在38℃左右，这种稍高于体温的温度对头发最好。,/photo/shuiwen.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
93,,头发,脱发,\t头皮上的皮脂腺分泌的皮脂里富含脂肪酸。这些皮脂既能够润泽头发，又能起到抑菌的作用。洗发的次数的确不是固定的，而是应该根据自己的头发状态和所处环境而定。,掌握好洗发频率,洗头发，按频率，按需调，更护发。,\t1、根据自己头发出现“油腻”的情况，适当增减洗发频率。\n\t2、如果是油性头发，可以每天洗发1次；如果是中性或干性的头发，每周洗发次数控制在2~4次。\n\t3、经常在户外工作的人及脑力工作者，也可适当增加洗发的次数。夏天气温较高，汗液排泄旺盛，头发易脏，洗发次数也可以适当增加。,/photo/xitou.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
94,,头发,脱发,"\t冷热水刺激充分激活头部血液循环,使头发更强韧。",冷热水交替浴,洗头发，先热水，后冷水，促循环。,\t冲洗干净头发之后再来一阵凉水冲洗头发。,/photo/lengrejiaoti.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
95,,头发,脱发,\t头皮是容易出汗弄脏的地方，勤洗头有助于防止秃头和头皮屑的发生。,勤洗头,勤洗头，更洁净，防秃头，防皮屑。,\t洗头的间隔最好是2～5天。,/photo/xitou.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
96,,头发,脱发,\t吸烟会使头皮毛细血管收缩，从而影响头发的发育生长。,戒烟,忌吸烟，损血管，阻发育，损发质。,\t狠狠心，为了保住自己的头发把烟戒了吧。,/photo/jieyan.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
97,,头发,脱发,\t白酒，特别是烫热的白酒会使头皮产生热气和湿气，引起脱发。,节制饮酒,少饮酒，防热气，去湿气，防脱发。,\t即便是啤酒、葡萄酒也应适量。,/photo/buxujiu.png,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
98,,头发,脱发,\t盐水中的钠盐能调节头皮部位水电解质平衡，减少雄性激素对毛囊的刺激，抑制代谢障碍的发生。此外，一些因为头发清理不净、细菌感染、油脂分泌过多引起的脱发，盐水洗头也能起到很好的效果。,用盐水防治脱发,洗头发，用盐水，促代谢，更干净。,\t1、将100～150克的食盐放在大半盆温水中溶解，先把头发全部浸入，揉搓一会，然后加入适量的洗发液继续揉搓。\n\t2、待油污被洗净后，再用清水将头发冲洗两遍。\n\t3、每星期洗一次，使用两三次后，便可防止头发脱落。,/photo/yan.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
99,,头发,脱发,\t红枣中含有头发所需要的蛋白质、维生素A、维生素B、维生素C、多种微量钙以及氨基酸，头发可以得到充足的营养供应，有利于头发的生长发育，防止脱发的发生。,用红枣治脱发,服红枣，补营养，促生长防，防脱发。,\t1、每天取50克红枣(大小不一)洗净后泡水。\n\t2、泡涨了再煮熟，在睡觉前吃下。,/photo/hongzao.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
100,,头发,脱发,\t洗发时选择适合自己的洗发香波，不要用脱脂性强或碱性洗发剂，这类洗发剂会使头发干燥、头皮坏死。最好选择含植物元素的洗发水。,根据自身的发质选用洗发液,洗发液，要挑选，学问大，需适合。,\t1.油性头发的人，建议选择弱酸性的洗发液。\n\t2.中干性的肌肤，建议选用含有蛋白的洗发液。,/photo/xifashui.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
101,,头发,脱发,\t过于勤快的洗头，会造成油脂彻底洗掉，头发跟头皮的保护层也会破坏，甚至会造成头皮油脂分泌系统出现问题，或者会分泌更多的油脂，让头发越洗越油，或者是头发越来越干枯。,保持适当的洗发频率,洗头发，按频率，按需调，更护发。,\t1.油性头发的人，每1天或者2天洗头一次。\n\t2.中干性头发，每周洗2~3次就可以了。,/photo/xifapinlv.jpg,洗漱更衣,睡前,睡前,睡前,睡前,睡前,睡前
102,,头发,脱发,\t护发素是阳离子活性剂。头发上有阴性静电，二者相结合会形成保护膜，减少头发之间的摩擦。,洗发后用护发素,洗发后，护发素，更中和，减摩擦。,\t1.涂抹护发素时，顺序是从头发末梢到根部，末梢可多一些。\n\t2.护发素一定要冲洗干净，因为它只能在一定时间内对头发进行养分补给，一旦超过有效的时间，非但不能滋养秀发，还容易造成分叉、干燥。,/photo/hufasu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
103,,头发,脱发,\t发酵的淘米水和啤酒，含有乳酸菌、氨基酸和维生素。普通淘米水虽含维生素，但酸性不够，发酵后才好。一般夏天发酵需要2天，冬季需要21天。,试试用发酵淘米水和啤酒洗头发,淘米水，和啤酒，洗头发，补营养。,\t1.在用洗发水洗过头发后，将20毫升发酵淘米水和啤酒淋在头发上，戴上发套，停留10分钟~15分钟后，让毛发充分吸收营养，然后用清水洗掉。\n\t2.洗头的水温不宜太高或太低，一般30℃就可以了。,/photo/pijiuxitou.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
104,,头发,脱发,\t吹风机吹出的热风温度高达100℃，会破坏毛发组织，损伤头皮，所以要注意减少吹风机对头发的健康损害。,避免经常使用吹风机,吹风机，忌常用，保发质，更护发。,\t适当降低吹风机的使用频率，如果时间允许，最好让头发自然风干。,/photo/chuifengji.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
105,,头发,脱发,\t吹风机吹出的热风温度高达100℃，会破坏毛发组织，损伤头皮，所以要注意减少吹风机对头发的健康损害。,使用吹风机时，头皮和吹风机保持一定距离,吹风机，忌常用，保发质，更护发。,\t使用吹风机的时候，一定要注意吹风机要与头皮保持最少1.5厘米以上的距离，尤其是功率比较大的吹风机。这样可以避免对毛囊和头发的损伤。,/photo/baochijuli.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
106,,头发,脱发,\t吹风机吹出的热风温度高达100℃，会破坏毛发组织，损伤头皮，所以要注意减少吹风机对头发的健康损害。,避免吹风机在同一个位置停留过久,吹风机，忌常用，保发质，更护发。,\t使用吹风机的时候应该把吹筒在潮湿的头发区域来回移动，避免在同一个位置停留过久。彻底将一片头发完全吹干后，再移到下个区域的做法是不可取的。,/photo/W020150624578895625477.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
107,,头发,脱发,\t吹风机吹出的热风温度高达100℃，会破坏毛发组织，损伤头皮，所以要注意减少吹风机对头发的健康损害。,分层吹发，不宜吹得过干,吹风机，忌常用，保发质，更护发。,\t1.吹头发的时候应该分层吹头发，采用由里往外的顺序，先吹发根，再吹发梢。\n\t2.如果时间来得及，可以只将发梢吹至半干，等待其自然风干。,/photo/baochijuli.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
108,,头发,脱发,\t吹风机吹出的热风温度高达100℃，会破坏毛发组织，损伤头皮，所以要注意减少吹风机对头发的健康损害。,避免长时间吹发,吹风机，忌常用，保发质，更护发。,\t长时间吹发会造成发梢干枯和分叉。,/photo/s6_53c25f1dbe7e2.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
109,,头发,脱发,\t梳头有疏通气血、散风明目、荣发固发、促进睡眠等作用。,梳头力度适中,常梳头，通气血，散风寒，更固发。,\t1.用力不能过轻或过重，轻了起不到按摩的作用，重了则会刮伤头皮。用力适度，以头皮产生微热感为宜。2.若是干性头发，梳时可用力些；若是油性头发，则用力轻些，否则会刺激皮脂腺增加分泌。,/photo/shutoulidu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
110,,头发,脱发,\t梳头有疏通气血、散风明目、荣发固发、促进睡眠等作用。,梳头顺序,常梳头，通气血，散风寒，更固发。,\t1.由前向后，再由后向前；由左向右，再由右向左。\n\t2.如此循环往复，梳头数十次或数百次后，再把头发整理、梳至平滑光整为止。,/photo/shutoushunxu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
111,,头发,脱发,\t梳头有疏通气血、散风明目、荣发固发、促进睡眠等作用。,梳头时间,常梳头，通气血，散风寒，更固发。,\t1.一般取早晚各7分钟，其余闲暇时间亦可。\n\t2.切忌在饱食后梳理，以免影响脾胃的消化。,/photo/shutoushijian.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
112,,头发,脱发,\t梳头有疏通气血、散风明目、荣发固发、促进睡眠等作用。,梳子材质,常梳头，通气血，散风寒，更固发。,\t梳子应取用桃木等木质或用牛角等天然材料制成，梳齿宜圆滑。,/photo/shuzi.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
113,,头发,脱发,\t经常性牵拉头发会损伤毛囊。,少扎马尾,马尾辫，要少扎，损毛囊，伤发质。,\t尽量少扎马尾，让头发充分自然呼吸和生长。,/photo/505c1c3899828_327.jpg,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
114,,头发,脱发,\t染烫发的产品大多是化学成分，在化学药物作用下，头发会受到损伤，变性、降解，甚至会让头发断裂，如果被吸收到毛囊，造成毛囊损伤，严重的话会出现永久性脱发。,避免经常烫染,烫染头，不常做，损毛囊，伤发质。,\t为了健康，尽量少染发或不染发，自然才是美丽的。,/photo/52_160919103732_1.jpg,,,主任务1,主任务1,,,主任务1
115,,皮肤,皱纹,\t仰睡不但可以使全身肌肉放松，而且可以减少脸部的皱纹。,仰睡,多仰睡，要平躺，松肌肉，减皱纹。,\t仰睡，就是平躺、正睡，正所谓天大地大我最大的睡相。,/photo/yangshui.jpg,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
116,,皮肤,皱纹,\t眼部细纹产生的根本原因是干燥、缺水，眼周的皮肤太单薄，保护能力弱，水分易蒸发，较面部其它部位容易产生皱纹。很多细纹是表情纹，所以要管好自己的双手，千万不要大力揉眼睛。,别揉眼,忌揉眼，保水分，更护眼，防皱纹。,\t对自己的宝贝眼睛温柔点，没事别揉眼哦！,/photo/burouyanjing.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
117,,皮肤,皱纹,\t眯眼瞧东西这类重复性的脸部运动会使脸部肌肉过度劳累，最终形成皱纹。,别眯眼,少眯眼，防劳累，更护眼，防皱纹。,\t如果实在看不清，就戴上合适的眼镜吧。,/photo/miyan.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
118,,皮肤,皱纹,\t过度洗脸非但不能保护皮肤，还会伤害皮肤。皮肤也在不断进行新陈代谢，有一定自洁功能，且由于汗液和皮脂在皮肤表面形成一层弱酸性的脂膜，看起来才有光泽。如果使劲搓、频繁洗，就会损伤正常的表皮细胞，容易导致皱纹的形成。,不要过度洗脸,洗脸时，忌过度，损皮肤，引皱纹。,\t每日早、晚各洗1次脸。,/photo/xilian.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
119,,皮肤,皱纹,\t阳光直射会直接损伤皮肤深层的弹性纤维和胶原蛋白，致使面部皮肤变得松弛无光泽，出现皱纹。,做好防晒工作,出门时，要防晒，保蛋白，防皱纹。,\t要养成使用优质防晒品的好习惯。,/photo/fangshai.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
