序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人-适用时间段,高精质-适用时间段,未孕女性-适用时间段,备孕女性-适用时间段,待产女性-适用时间段,产后女性-适用时间段,已育女性-适用时间段
179,,整体,减肥塑形,\t使用精油消除臂部蜂窝组织内的毒素，排出手臂处多余水分和废物，紧致肌肉。,天竺葵瘦手臂按摩油,用精油，除毒素，拍废物，紧肌肉。,"\t1、材料：天竺葵精油8滴，橄榄油25毫升。\n\t2、做法：25毫升橄榄油倒入深蓝色玻璃瓶中，滴入天竺葵精油，摇晃均匀即可。\n\t3、用法：将按摩油均匀涂抹于臂部，从下至上、以扭拧的方式按摩臂部，以臂部稍
发热为佳。",/photo/jingyou.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
180,,整体,减肥塑形,\t使用精油消除臂部蜂窝组织内的毒素，排出手臂处多余水分和废物，紧致肌肉。,丝柏甜杏仁按摩油,涂精油，排毒素，排水分，紧肌肉,\t1、材料：丝柏精油3滴，杜松精油2滴，甜杏仁精油5毫升。\n\t2、做法：往甜杏仁精油中依次滴入丝柏精油和杜松精油，搅拌均匀即可。\n\t3、用法：涂抹在颈肩部位按摩。\n\t4、功效：加速肥胖部位脂肪的溶解速度，紧致肌肤。,/photo/jingyou.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
181,,整体,减肥塑形,\t泡脚加速脚部新陈代谢，排出积聚在体内的废物及水分。,热水泡脚,常泡脚，促代谢，排废物，排水分,\t睡前泡脚时间不宜超过30分钟。,/photo/reshuipaojiao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
182,,整体,减肥塑形,\t对肌肤刺激作用很大的外用产品会改变肌肤细胞的新陈代谢状况，还会影响毛孔呼吸和毛细血管的血液循环。,减少腿部肌肤刺激,减外用，少刺激，护细胞，促循环,\t想瘦腿进行按摩是可以的，但应该尽量减少外用产品对腿部的刺激。,/photo/shoutuigao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
183,,整体,减肥塑形,\t经常活动腿部，改变腿部受力的方向和力度，对改善腿部血液循环舒缓水肿很有帮助。,多动腿,活动退，改受力，调循环，去水肿,\t时常更换坐姿或站姿，不久坐，不久站。,/photo/bujiuzuo.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
184,,整体,减肥塑形,\t踮脚尖时在脚尖与地面的接触点是涌泉穴，刺激这个穴位对全身血液循环都有很好的带动作用。,踮脚尖走路,踮脚尖，涌泉穴，刺穴位，促循环,\t1、踮脚尖的方法是：双脚并拢，抬起脚跟，脚尖着地，保持1分钟左右，再放下脚跟，反复进行几次。\n\t2、工作间隙，可以抬起脚跟走路，每次走上3~5分钟，休息一会儿，再反复多做几次，速度以自己感觉舒适为宜。\n\t3、实在是很繁忙的时候，也可以在坐着的时候踮起脚尖，保持大腿和小腿呈垂直状态，也可以在大腿上放一本书，以加大力度。,/photo/dianjiaojian.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
185,,整体,减肥塑形,\t按摩可促进局部肌肤血液循环，使大腿更紧实。,咖啡粉瘦腿,常按摩，促循环，护皮肤，瘦大腿,\t将未煮过的咖啡粉调和按摩油，以螺旋状轻轻按摩大腿和臀部。,/photo/kafeifen.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
186,,整体,减肥塑形,\t粗盐可以刺激人体发汗，帮助排除体内多余的水分，促进皮肤的新陈代谢，排除体内废物。,粗盐瘦腿法,洗澡前，涂粗盐，促代谢，排废物,\t1、每天洗澡前，取一杯粗盐加上少许的热水拌成糊状，涂在大腿上，只要涂在身上盐不脱落就可以了。\n\t2、10分钟后，用热水把粗盐冲洗干净，也可以在涂抹上之后做些按摩，然后再用水重洗干净即可。\n\t3、可以使用一般的粗盐，也可以用商店中出售的沐浴盐，粗盐瘦腿法对于不喜欢运动的美眉们来说非常适合。,/photo/cuyan.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
187,,整体,减肥塑形,\t经常穿高跟鞋，使小腿承受了过重的重量，腿部受力开始外移，造成小腿肌肉越来越外翻，导致小腿变粗。,改变鞋跟的高度拉伸小腿肌肉,高跟鞋，常承重，勤换鞋，瘦小腿,\t如平时穿低跟鞋走路的人换上高跟鞋，平时穿高跟鞋的走路人换上低跟鞋。,/photo/gaogenxie.jpg,,,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
188,,整体,减肥塑形,\t不正确的走路姿势，使小腿承受了过重的重量，腿部受力开始外移，造成小腿肌肉越来越外翻，导致小腿变粗。,改变走路的姿势,走姿错，小腿弱，勤矫正，瘦小腿,\t走路时，将身体的重量平均分摊于脚跟的部分，避免让小腿承担过多的重量。,/photo/zouluzishi.gif,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
189,,整体,减肥塑形,\t泡脚加速脚部新陈代谢，排出积聚在体内的废物及水分。,临睡泡脚,临睡前，常泡脚，排废物，排水分,\t睡前泡脚时间不宜超过30分钟。,/photo/reshuipaojiao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
190,,整体,减肥塑形,\t踮脚尖时在脚尖与地面的接触点是涌泉穴，刺激这个穴位对全身血液循环都有很好的带动作用。,在椅子上坐的时候踮脚尖,踮脚尖，涌泉穴，刺穴位，促循环,\t坐椅子的时候，把脚尖翘起来，保持大腿和小腿呈垂直状态，也可以在大腿上放一本书，以加大力度。,/photo/zuozhedianjiao.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
191,,整体,减肥塑形,\t粗盐可以刺激人体发汗，帮助排除体内多余的水分，促进皮肤的新陈代谢，排除体内废物。,粗盐瘦腿法,洗澡前，涂粗盐，促代谢，排废物,\t1、每天洗澡前，取一杯粗盐加上少许的热水拌成糊状，涂在小腿上，只要涂在身上盐不脱落就可以了。\n\t2、10分钟后，用热水把粗盐冲洗干净，也可以在涂抹上之后做些按摩，然后再用水重洗干净即可。\n\t3、可以使用一般的粗盐，也可以用商店中出售的沐浴盐，粗盐瘦腿法对于不喜欢运动的美眉们来说非常适合。,/photo/cuyan.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
192,,整体,减肥塑形,\t贴胶带会拉紧小腿外侧，使向外撇出的小腿肚自然收回，从而使两条小腿的线条更完美。,脚跟贴胶带,贴胶带，拉小腿，常拉伸，塑线条,\t1、剪2条长约15厘米的宽胶带，取其中l条，将一端固定在外侧左脚踝上方四指宽处。然后沿着跟腱垂直向下拉伸，将另一端粘贴到脚跟下。\n\t2、右脚跟按同样的方式粘贴。,/photo/jiaodai.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
193,,皮肤,皮肤干裂,\t每个人的皮肤情况不同，要选择最适合自己的用品。,选对护肤品,皮肤干，要护肤，选对品，最适合,\t1、油性皮肤的人尽量不选油性很大的护肤品，以免阻塞毛孔，导致脂肪粒、粉刺的出现，可使用含水量高的清爽型乳液或保湿露。\n\t2、但是对于末梢循环不佳、已经出现干裂的部位，要使用含油量较大的护肤品。,/photo/hufupin.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
194,,皮肤,皮肤干裂,\t每个人的皮肤情况不同，要选择最适合自己的用品。,根据皮肤状况选择沐浴用品,皮肤干，要护肤，选对品，最适合,\t1、油性皮肤或者运动后污垢较多的人，可以选择清洁力较强的香皂；\n\t2、皮肤容易干燥的人最好选择有滋养成分的沐浴露，并且在沐浴后及时涂抹身体润肤霜。,/photo/muyulu.png,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
195,,皮肤,皮肤干裂,\t用物理方法加速油性成分和水分的渗透和滋养。,使用凡士林油,水油兼，需渗透，常涂抹，助滋养,\t在清洗后抹上更厚的凡士林油保湿。,/photo/fanshilin.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
196,,皮肤,皮肤干裂,\t用物理方法加速油性成分和水分的渗透和滋养。,用手套保湿,水油兼，需渗透，常涂抹，助滋养,\t清洗后，涂好护肤品，再戴上手套。,/photo/shoutao.png,睡前,睡前,睡前,睡前,,睡前,睡前
197,,皮肤,皮肤干裂,\t用物理方法加速油性成分和水分的渗透和滋养。,保鲜膜保湿,水油兼，需渗透，常涂抹，助滋养,\t用保鲜膜把干裂的局部封包起来,/photo/baoxianmo.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
198,,皮肤,皮肤干裂,\t洗澡过多或过少对皮肤都不利，要根据自己的情况酌情处理。,把握洗澡频率,护皮肤，注沐浴，莫贪多，莫太少,\t1、干性皮肤的人不要频繁洗澡，以免将体表分泌的油脂保护膜破坏掉。\n\t2、皮脂腺分泌少的老年人一周洗一两次即可。,/photo/xizao1.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
199,,精神,精气神,\t养精首先要节欲，这是最关键的一种做法。由于太多泄精，会泄掉人的精气。,节欲保精,需养精，适宣泄，求规律，莫频繁,\t性生活要有规律，不要过于频繁。,/photo/jiezhixingshenghuo.jpeg,睡前,睡前,睡前,睡前,,睡前,睡前
200,,精神,精气神,\t精有先天、后天之分，中医说：先天之精受之父母，是“生命之根”。先天之精，需要后天之精的充养，才能使其发挥最大的功能。后天之精，完全来自饮食中的营养物质，又称“水谷精微”，有了这些营养物质的补充，人才能正常生活。定时指一日三餐必须固定，不可或缺，也不可以没有规律。,饮食定时,先天精，后天养，营养足，益增补,\t吃饭的时间尽量一致，太晚吃对脾胃的伤害很大。,/photo/chifandingshi.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
201,,精神,精气神,\t精有先天、后天之分，中医说：先天之精受之父母，是“生命之根”。先天之精，需要后天之精的充养，才能使其发挥最大的功能。后天之精，完全来自饮食中的营养物质，又称“水谷精微”，有了这些营养物质的补充，人才能正常生活。,饮食定量,先天精，后天养，营养足，益增补,\t定量指每天摄取的食物热量基本要一致，也就是饭量，一般来说，人体会自然调整出合适的饭量，而人体也会逐渐适应这个饭量。,/photo/chifandingliang.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
202,,精神,精气神,\t精有先天、后天之分，中医说：先天之精受之父母，是“生命之根”。先天之精，需要后天之精的充养，才能使其发挥最大的功能。后天之精，完全来自饮食中的营养物质，又称“水谷精微”，有了这些营养物质的补充，人才能正常生活。,不偏食,先天精，后天养，营养足，益增补,\t就算胃口不好，也不可以一点食物都不吃。,/photo/pianshi.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
203,,精神,精气神,\t精有先天、后天之分，中医说：先天之精受之父母，是“生命之根”。先天之精，需要后天之精的充养，才能使其发挥最大的功能。后天之精，完全来自饮食中的营养物质，又称“水谷精微”，有了这些营养物质的补充，人才能正常生活。,不嗜食,先天精，后天养，营养足，益增补,\t遇到菜色丰富或胃口好的时候，不能没有节制的大吃大喝。老年人要注意不要吃得太饱，吃饭只吃８分饱，不要有撑的感觉。,/photo/bushishi.png,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
204,,精神,精气神,\t练睡养生时，要侧着身体，好像狗一样蜷着身子。,睡狗觉,睡养生，侧身体，曲臂枕，抚肚脐,"\t1、 一只手屈臂当枕头，一只手直抚于肚脐眼。一条腿伸展，一条腿弯曲。这就是炼形。\n\t2、 睡养生要求先睡心，后睡眼。也就是先要收心入静，然后才闭目入睡。首先要使心神不外驰，就是不能老想着外面的事情，要把心神收敛起来，这是炼神。\n\t3、 呼吸要调匀、调细，气机自然、安定、平和。只有精、气、神三者和合凝聚，才能达到养生的目的。
",/photo/shuigoujiao.jpg,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
205,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,赖会床再起,劳逸合，松弛度，健康态，身心活,\t早上醒来，4~5分钟之后再起床。,/photo/laichuang.jpg,醒来-平静-起床,,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床
206,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,起床要缓,劳逸合，松弛度，健康态，身心活,\t早上起来的时候，不要起的太猛，以免引起头晕、头痛等症状。,/photo/qichuangyaohuan.jpg,醒来-平静-起床,,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床
207,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,起床后喝杯水,劳逸合，松弛度，健康态，身心活,\t每天清晨起床后喝杯水。,/photo/shui.jpg,醒来-平静-起床,,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床,醒来-平静-起床
208,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,每天定时排便,劳逸合，松弛度，健康态，身心活,\t每天定时排便，排便时精力集中，即使无便意也要做动作，预防便秘。,/photo/dingshipaibian.jpg,如厕,,"如厕
",如厕,如厕,如厕,如厕
209,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,大便忌用力过猛,劳逸合，松弛度，健康态，身心活,\t1、大小便时应学会自我放松，轻轻用力，切忌急于排空而用力屏气，便后也不要骤然站起。\n\t2、如大便干燥可采用一些通便药物，如番泻叶、开塞露等。,/photo/paibianjiyongli.gif,如厕,,"如厕
",如厕,如厕,如厕,如厕
210,,精神,自卑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,温水洗漱,劳逸合，松弛度，健康态，身心活,\t洗漱时，宜用温水，尤其是在寒冷的冬季。,/photo/wenshuixishu.jpg,洗漱更衣,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
211,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,老年人出行时最好有人陪护,劳逸合，松弛度，健康态，身心活,\t尽量不要独自出门，找个人陪同。,/photo/peitong.jpg,主任务1,,,,,,
212,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,使用拐杖,劳逸合，松弛度，健康态，身心活,\t平时或上街时可用拐仗，拐杖着地的一端最好带有橡皮头以防地滑。,/photo/shouzhang.jpg,主任务1,,,,,,
213,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,走路注意休息,劳逸合，松弛度，健康态，身心活,\t行走时间不能太长，一旦感到疲乏应及时休息。,/photo/zouluxiuxi.jpg,主任务2,,,,,,
214,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,搀扶,劳逸合，松弛度，健康态，身心活,\t老人出行时步伐多较缓慢，陪同出行人员一定不能催促，必要时要予以搀扶或由自己扶着室内的墙壁、桌椅往前走。,/photo/chanfu.jpg,主任务1,,,,,,
215,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,注意看天气预报,劳逸合，松弛度，健康态，身心活,\t外出前要掌握当日的天气，并根据天气情况准备必要的物品，同时要合理安排外出的时间，避免时间太长。,/photo/tianqiyubao.jpg,主任务2,,,,,,
216,,精神,孤独感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,切勿匆忙外出,劳逸合，松弛度，健康态，身心活,\t外出前应先做好充分的准备。,/photo/wucongmangwaichu.jpg,主任务1,,,,,,
217,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,外出时要注意交通安全,劳逸合，松弛度，健康态，身心活,\t1、行走不宜过急，以免忙中出错。\n\t2、注意看红绿灯。,/photo/jiaotongdeng.jpg,主任务2,,,,,,
218,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,家具要适用,劳逸合，松弛度，健康态，身心活,\t1、家有年老体弱的老年人各种家具在保持适用的同时，要充分考虑到老人的安全性。\n\t2、如坐椅要结实牢固有靠背或扶手，高低适宜，接触地面要稳固；\n\t3、床具最好是硬板床、铺厚褥为宜，高矮要合适，便于上下；\n\t4、地面要平坦不打滑；\n\t5、门坎不宜过高等。,/photo/keting.jpg,主任务1,,,,,,
219,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,防摔倒,劳逸合，松弛度，健康态，身心活,\t尽量不穿塑料底和高跟鞋以防滑倒。,/photo/gaogenxie.jpg,洗漱更衣,,,,,,
220,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,注意消防安全,劳逸合，松弛度，健康态，身心活,\t睡前不吸烟，必须保证不躺着吸烟，以防火灾。,/photo/jieyan.jpg,睡前,,,,,,
221,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,做家务要缓,劳逸合，松弛度，健康态，身心活,\t做家务劳动时，动作要舒缓，不急躁，要防止烫伤。,/photo/jiawu.jpg,主任务1,,,,,,
222,,精神,空虚感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,防骨折,劳逸合，松弛度，健康态，身心活,\t尽量减少爬高就低。,/photo/pagao.JPEG,主任务2,,,,,,
223,,精神,焦虑感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,睡午觉,劳逸合，松弛度，健康态，身心活,\t午睡时间控制在30分钟左右，老年人午休时间可以适当延长。,/photo/wuxiu.jpg,午睡,午睡,,,,,
224,,精神,焦虑感,\t休息时间比较充足，人的精神心理才能更为的平稳和精神，头脑也才会更为清醒，出现焦虑不安的时候也能更好地进行控制缓解。,充足睡眠,睡眠足，精神稳，头脑醒，易控制,\t晚上11点之前必须上床睡觉，最晚不得超过12点。,/photo/zuoxiguilv.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
225,,精神,焦虑感,"\t缺乏锻炼引起的肢体紧张,也会导致心理上的紧张。",坚持锻炼,缺锻炼，肢体僵，心焦急，意紧张,\t如果你没有时间去体育馆锻炼的话，每天至少抽出30分钟来散散步。,/photo/jianchiduanlian.png,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
226,,精神,焦虑感,\t暗淡的光线容易使人精神萎靡不振，情绪波动大。,家中的光线一定要亮,暗淡光，易萎靡，暗开灯，保采光,\t如果房屋的采光条件不好，即使在白天也要把电灯打开。,/photo/diandeng.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
227,,精神,焦虑感,\t洗澡能解乏，消除忧愁。,洗澡,常沐浴，能解乏，消忧愁，益健康,\t根据自己的身体情况，选择合适的洗澡频率。,/photo/xizao1.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
228,,精神,焦虑感,\t药物和酒精可能会加重抑郁及焦虑，要寻求健康的宣泄方式。,少喝酒，少用镇静剂,少喝酒，少用药，常宣泄，更健康,\t把家里的酒藏在看不见的地方，或者干脆不要再买酒了。镇静剂更不要买。,/photo/jiuzhenjingji.png,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
229,,精神,抑郁感,\t饮水可以使机体及时排除体内的毒素，防止毒素对大脑的侵害。,多饮水,多饮水，排毒素，足够量，护大脑,\t每天保证摄入足够量的水。,/photo/shui.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
230,,精神,抑郁感,\t适当地提高室内温度湿度，可以有效地改善冬季产生的生理和心理变化，既可以驱除抑郁感，也可以防止因血管收缩造成的脑部缺氧。,冬季注意取暖,提室温，增湿度，驱抑郁，防缺氧,\t在南方没有暖气的地方，可以使用取暖器或电暖气等维持室内温度。,/photo/nuanqi.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
231,,精神,抑郁感,\t色彩转换可以改善因色调引起的抑郁情绪，打乱习惯的色调模式，形成季节错位，从而改善情绪。,色彩调节,色彩换，调情绪，防抑郁，改心情,\t可以在墙上悬挂色彩缤纷的画。选用暖色调的墙纸，在家中种植常绿植物等。,/photo/lvzhi.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
232,,精神,抑郁感,\t香薰可以调节心理。,闻香去抑郁,闻香味，去抑郁，用香薰，或涂抹,\t宜选用暖香型的香薰，如水果香或花香，不宜使用木香和动物香。可用香薰法或涂抹法。,/photo/xiangxun.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
233,,精神,抑郁感,\t每天照射一定量明亮的太阳光或明亮的人工光线，可以减少抑郁感。人在这种光线充足的条件下进行活动，可调动情绪，增强兴奋性、减轻或消除抑郁感。,加强日照和光照,晒太阳，补钙质，防抑郁，提兴趣,\t阴雨天或早晚无阳光时，尽量打开家中或办公室中的全部照明装置，使屋内光明敞亮。,/photo/keting.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
234,,精神,抑郁感,\t色彩转换可以改善因色调引起的抑郁情绪，打乱习惯的色调模式，形成季节错位，从而改善情绪。,穿着选择明亮的颜色,色彩换，调情绪，防抑郁，改心情,\t衣着可选择如红色、黄色等。,/photo/hongseyifu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
235,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,忌说话快速,劳逸合，松弛度，健康态，身心活,\t老年人说话莫要高声大嗓、频率过快。应保持稳定的情绪，否则易使血压升高，也会加重心脏的负担。,/photo/,主任务1,,,,,,
236,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,忌吃饭过快,劳逸合，松弛度，健康态，身心活,\t食物需细嚼才能有助消化，饭吃得急，还易噎着。,/photo/jujue.jpg,主任务1,,,,,,
237,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,忌站着穿裤,劳逸合，松弛度，健康态，身心活,\t老人站着穿裤，这很危险。因老人骨质已疏松，一旦站不稳摔倒了，后果很糟。,/photo/laoren.jpg,洗漱更衣,,,,,,
238,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,忌用力排便,劳逸合，松弛度，健康态，身心活,\t应按时排便，排便不顺时，应借助药物，不能硬排便。因人在排便时血压易升高，过分用力，会晕倒休克以至脑溢血，甚至还有生命危险,/photo/dingshipaibian.jpg,如厕,,,,,,
239,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,忌过分仰脖,劳逸合，松弛度，健康态，身心活,\t老人往往乐意坐沙发上看电视、与人交谈，时间一长易压迫颈部动脉使血流不畅，易感到头晕、恶心，甚至得半身不遂。,/photo/yangbo.png,主任务2,,,,,,
240,,精神,衰老感,\t劳逸结合，建立健康的生活方式。良好的生活方式是人类身心健康的重要保证。老年人应该做到劳逸结合、张弛有度才能利于身心健康。,起居动作要轻缓,劳逸合，松弛度，健康态，身心活,\t1、起床、下床时要由卧而坐，停一会儿，再由坐而立，起步动作要慢\n\t2、久坐后，应在原地站立一下再走；由蹲位到站立时，更应缓慢并站一会儿再走，不能站起来马上就走。尽量少做低头弯腰的动作。\n\t3、不宜长时间站立，更换衣服或穿脱鞋袜时最好取坐位，必须保证不单腿站立。,/photo/qichuangyaohuan.jpg,主任务1,,,,,,
