序号,人群,问题分类,问题名称,宜食,推荐菜品食材,推荐主食食材,推荐早餐食材,推荐茶歇食材,禁食,禁用食材,禁用烹饪方法
1,,整体,减肥塑形,新鲜蔬菜和水果；宜清淡，宜食五谷杂粮；宜补充优质蛋白质。,豇豆、豆角、胡萝卜、油麦菜、小白菜、白菜、芥菜、芋头、红薯、菜花、紫菜、海带、银耳、洋葱、南瓜、山药、土豆、茄子、木耳、香菇、芹菜、生菜、卷心菜、西红柿、西兰花、菠菜、丝瓜、苦瓜、冬瓜,糯米、黑米、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米,糯米、黑米、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米、牛奶、鸡蛋,牛奶、蜂蜜、猕猴桃、火龙果、杨桃、杨梅、香梨、菠萝、葡萄、芒果、香蕉、桑葚、红枣、西瓜、石榴、木瓜、苹果、草莓、香蕉,油腻食物；忌食含糖量较高的食物。,猪皮、羊肉、蚕豆、花生,
2,,整体,增高,富含蛋白质食物食物、富含维生素和纤维素的食物、富含矿物质的食物。,草鱼、鲈鱼、鲤鱼、鲫鱼、鲑鱼、罗非鱼、虾、猪肉、牛肉、羊肉、鸡肉、鹅肉、鸭肉、鸡蛋、豆腐、腐竹、猪肝、鸡肝、豇豆、豆角、胡萝卜、油麦菜、小白菜、白菜、芥菜、芋头、红薯、菜花、紫菜、海带、银耳、洋葱、南瓜、山药、土豆、茄子、木耳、香菇、芹菜、生菜、卷心菜、西红柿、西兰花,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米、牛奶、鸡蛋,杏仁、核桃、芝麻桂圆、腰果、木瓜、苹果、葡萄、花生、猕猴桃、牛奶、荔枝、芒果、桃、蜂蜜、黑芝麻、酸奶、松子仁,糖果、碳酸饮料、垃圾食品。,碳酸饮料、糖果,
3,,五官,眼睛浮肿,清淡、利尿的食物。,冬瓜、香菇、黄瓜、菠菜、玉米、西兰花、芹菜、鸡肉、豌豆苗、海带,赤小豆、绿豆、玉米面、糙米、小麦、小麦粉、大麦、粳米、大米,牛奶、鸡蛋、赤小豆、绿豆、玉米面、糙米、小麦、小麦粉、大麦、粳米、大米,西瓜、枸杞、荷叶、苹果、木瓜、香蕉、柚子,盐或过咸食品，性寒滋腻、海腥发物和辛辣刺激性食物。,牛肉、羊肉、猪肉、牛肺、猪大肠、猪肺,油炸
4,,五官,眼球晦暗,含维生素A多的食物、乳制品、豆类、豆制品、富含维生素C的水果、贝类食物。,猪肝、虾、鸭肉、莲藕、荸荠、胡萝卜、菠菜、芹菜、丝瓜、玉米、冬瓜、芦笋、白萝卜、土豆、白菜、卷心菜、海带、西兰花、山药、西红柿、茄子、南瓜,黄米、黑米、小麦、小麦粉、大米、燕麦片、玉米面,黄米、黑米、小麦、小麦粉、大米、燕麦片、玉米面、牛奶、鸡蛋,菊花、枸杞、香梨、草莓、猕猴桃、柠檬、橙子、香蕉、红枣、火龙果、苹果、西瓜、李子、桃,辛辣刺激食物、温热类食物、油腻厚味食物。,腊肠、腊肉、鸡皮、猪肉、猪蹄、猪肘、蒜苗、蒜薹、尖椒、蜜枣、榴莲,
5,,五官,迎风流泪,含维生素A多的食物、多吃乳制品、豆类、豆制品、富含维生素C的水果、多吃贝类食物。,猪肝、虾、鸭肉、莲藕、荸荠、胡萝卜、菠菜、芹菜、西葫芦、丝瓜、裙带菜、玉米、冬瓜、芦笋、白萝卜、土豆、白菜、卷心菜、海带、西兰花、山药、西红柿、茄子、南瓜,黄米、黑米、小麦、小麦粉、燕麦片、荞麦、玉米面、大米,黄米、黑米、小麦、小麦粉、燕麦片、荞麦、玉米面、大米、鸡蛋、牛奶,菊花、枸杞、香梨、草莓、猕猴桃、柠檬、橙子、香蕉、红枣、火龙果、苹果、西瓜、李子、桃、杨梅、栗子,辛辣刺激食物，温热类食物，油腻厚味食物。,腊肠、腊肉、鸡皮、猪皮、蒜苗、尖椒,
6,,五官,眼袋,鱼类、胡萝卜、番茄、马铃薯、动物肝脏、豆类等富含维A和维B2等有益于眼睛保护的食物。,红薯、山药、红枣、香菇、鸡蛋、胡萝卜、海带、冬瓜、土豆、豆腐、猪肝、草鱼、鲈鱼、银鱼、鲤鱼、鲑鱼,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片、牛奶、鸡蛋,木瓜、薄荷、菊花、红茶、苹果、红枣,寒凉之物、辛辣食物。,山楂、香梨、鸭肉、猕猴桃、枸杞、甲鱼、田螺,
7,,五官,黑眼圈,鱼类、胡萝卜、番茄、马铃薯、动物肝脏、豆类等富含维A和维B2等有益于眼睛保护的食物。,红薯、山药、红枣、香菇、鸡蛋、胡萝卜、海带、冬瓜、土豆、豆腐、猪肝、草鱼、鲈鱼、银鱼、鲤鱼、鲑鱼,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片、牛奶、鸡蛋,木瓜、薄荷、菊花、红茶、苹果、红枣,寒凉之物、辛辣食物。,山楂、香梨、鸭肉、猕猴桃、枸杞、甲鱼、田螺,
8,,五官,睫毛短且稀疏,富含维生素E的食物、宜食富含酪氨酸的食物。,鸡肉、牛肉、猪肉、鲤鱼、鲫鱼、鲈鱼、鸡蛋、菠菜、莴笋、卷心菜、玉米、红薯、菠菜,玉米面、小麦、小麦粉、大米、粳米、荞麦、黄米,玉米面、小麦、小麦粉、大米、粳米、荞麦、黄米、牛奶、鸡蛋,腰果、南瓜子仁、葵花籽、核桃、花生、芝麻、猕猴桃、橘子,,,
9,,五官,口臭,属性偏凉的食物。,黄瓜、海带、香菇、芹菜、洋葱、莲藕、荸荠、白萝卜、白菜、菠菜,小米、玉米面、小麦、小麦粉、大米、粳米,小米、玉米面、小麦、小麦粉、大米、粳米、牛奶、鸡蛋、莲子,荔枝、绿茶、薄荷、酸奶、橘子、蜂蜜、柚子、柠檬、香梨、山楂、葡萄、苹果、香蕉,甘甜辛辣之品。,,
10,,五官,牙齿黑黄,含糖量低、纤维丰富、含有适量果酸的食物，宜食质地较硬的食物。,芹菜、胡萝卜、芥末、菠菜、洋葱、香菇、油菜、青椒、番茄、菜花,小米、玉米面、黄豆面、小麦、小麦粉大米、粳米,小米、玉米面、黄豆面、小麦、小麦粉大米、粳米、牛奶、鸡蛋,橙子、草莓、苹果、菠萝、绿茶、酸奶、香蕉、薄荷、猕猴桃、橘子、柠檬、柚子、山楂、普通,深色浆果，忌食色素较多的食物。,红茶、冰淇淋、红酒、咖啡、番茄酱、香醋、酱油,
11,,五官,牙齿松动,杀菌、防过敏的食物，宜食粗纤维食物。,洋葱、打算、蘑菇、木耳、银耳、芹菜、香菇、蒜薹、韭菜、西红柿,小米、玉米面、小麦、小麦粉、大米、粳米、糯米、赤小豆,小米、玉米面、小麦、小麦粉、大米、粳米、糯米、赤小豆、牛奶、鸡蛋,绿茶、山楂、猕猴桃、石榴、苹果、橘子、杨梅、普通、香蕉、枸杞、薄荷,冷、热、酸、甜等食物，忌食坚硬食物。,冰淇淋,
12,,五官,酒渣鼻,清热解毒的食物，宜吃富含微量元素、矿物质的食物，宜吃富含氨基酸的食物。,玉米、银耳、豆腐、豌豆苗、西兰花、韭菜、芥菜、菠菜、鸡肉、猪肉、牛肉、鸡蛋、兔肉、鸭肉、木耳、蘑菇、芹菜、莴笋、丝瓜、苦瓜、西红柿、莲藕,绿豆、小米、玉米面、黄米、小麦、小麦粉、大米、黑米、粳米,绿豆、小米、玉米面、黄米、小麦、小麦粉、大米、黑米、粳米、牛奶、鸡蛋,柠檬、苹果、香梨、山楂、苹果、西瓜、香蕉、草莓、橙子,辛辣燥热的食物，忌吃龙虾、羊肉等发物，忌烟酒、辣椒、洋葱等刺激性食物,龙虾、榴莲、茴香,
13,,头发,发质干枯,甲状腺激素高的食物，宜食富含维生素B的食物，宜食富含蛋白质的食物。,海带、菠菜、韭菜、芹菜、豆腐、鸡蛋、猪肉、牛肉、鸡肉、海带、鲈鱼、鲤鱼、鲫鱼、蘑菇、小白菜、土豆、西红柿、猪肝、紫菜、鲑鱼、草鱼、茴香,大麦、黑豆、小米、玉米面、小麦、小麦粉、大米、高粱米、黑米,大麦、黑豆、小米、玉米面、小麦、小麦粉、大米、高粱米、黑米、芝麻、牛奶、鸡蛋,核桃、芒果、香蕉、花生、黑芝麻、绿茶,,,
14,,头发,白发,含铁和铜的食物；宜食富含维生素B的食物。,猪肝、鸡蛋、木耳、海带、猪腰子、虾、鸡肉、牛肉、猪肉、羊肉、兔肉、鲈鱼、鲫鱼、鲤鱼、草鱼、豆腐、海带、胡萝卜、菠菜、茼蒿、芹菜、茴香、白菜、小白菜,黑豆、大麦、小米、玉米面、小麦、小麦粉、大米、糯米、黑米,黑豆、大麦、小米、玉米面、小麦、小麦粉、大米、糯米、黑米、牛奶、鸡蛋,黑芝麻、核桃、枸杞、山楂、猕猴桃、石榴、苹果、橘子、杨梅、葡萄、香蕉、枸杞、薄荷、柠檬、香梨、山楂,,,
15,,头发,脱发,富含蛋白质、维生素、矿物质的食物。,木耳、紫菜、海带、胡萝卜、菠菜、洋葱、茄子、鸡蛋、猪肝、鸡肝、土豆、菠菜、芹菜、鲈鱼、草鱼、鲤鱼、鲫鱼、鲑鱼、莴笋、西红柿,黑豆、黑米、小麦、小麦粉、大麦、小米、玉米面,黑豆、黑米、小麦、小麦粉、大麦、小米、玉米面、牛奶、鸡蛋,黑芝麻、核桃、花生、葵花籽、葡萄干、苹果、香梨、猕猴桃、西瓜、桑葚、香蕉、杏仁、芒果、苹果,忌食辛辣刺激之物，忌食油腻燥热之物，忌食糖和脂肪丰富的食物。,葱、蒜、尖椒,
16,,皮肤,皱纹,荤素搭配，宜食碱性食物；宜食新鲜蔬菜水果；宜食富含优质蛋白质的食物；宜食富含硒、核酸的食物。,黄瓜、猪皮、鲤鱼、玉米、南瓜、西兰花、鸡蛋、冬瓜、菠菜、丝瓜、芥菜、香菇、豇豆、豆角、胡萝卜、油麦菜、小白菜、红薯、卷心菜、菜花、紫菜、海带、洋葱、南瓜、土豆、山药、茄子,小米、玉米面、小麦、面粉、大米、粳米、大麦,牛奶、鸡蛋、小米、玉米面、小麦、面粉、大米、粳米、大麦、糯米、黑米,樱桃、石榴、山楂、葡萄、柠檬、柚子、酸奶、核桃、贞子、枸杞、红枣、苹果、香梨、杏仁、花生、蜂蜜、葡萄干、猕猴桃,忌食辛辣、甜腻、刺激类食物；忌食生冷食物。,尖椒、芥末、胡椒、花椒,
17,,皮肤,皮肤干裂,荤素搭配，宜食碱性食物；宜食新鲜蔬菜水果；宜食富含优质蛋白质的食物；宜食富含硒、核酸的食物。,黄瓜、猪皮、鲤鱼、玉米、南瓜、西兰花、鸡蛋、冬瓜、菠菜、丝瓜、芥菜、香菇、豇豆、豆角、胡萝卜、油麦菜、小白菜、红薯、卷心菜、菜花、紫菜、海带、洋葱、南瓜、土豆、山药、茄子,小米、玉米面、小麦、面粉、大米、粳米、大麦,牛奶、鸡蛋、小米、玉米面、小麦、面粉、大米、粳米、大麦、糯米、黑米,樱桃、石榴、山楂、葡萄、柠檬、柚子、酸奶、核桃、贞子、枸杞、红枣、苹果、香梨、杏仁、花生、蜂蜜、葡萄干、猕猴桃,辛辣、甜腻、刺激类食物；忌食生冷食物。,尖椒、芥末、胡椒、花椒,
18,,皮肤,皮肤暗黄,富含维生素和微量元素的食物；宜食富含铁的食物；适量食用富含胶质的食物。,鸡蛋、鸭蛋、木耳、芹菜、西兰花、西红柿、苦瓜、南瓜、冬瓜、黄瓜、菠菜、丝瓜、芥菜、香菇、豇豆、胡萝卜、油麦菜、白菜、茄子、土豆、卷心菜、菜花、洋葱,小米、玉米面、小麦、大米、粳米、小麦粉,小米、玉米面、小麦、大米、粳米、小麦粉、牛奶、鸡蛋,栗子、杏仁、花生、乌梅、核桃、葡萄干、蜂蜜、红枣、猕猴桃、火龙果、樱桃、香梨、菠萝、葡萄、苹果、芒果、草莓、香蕉、桑葚、西瓜、木瓜、荔枝、柠檬,煎炒、油炸之物；忌食辛辣刺激性食物；忌食生冷食物。,芥末、松花蛋、冰淇淋、蚕豆、茶叶,
19,,胸部,平胸,富含蛋白质的食物、富含微量元素的食物、富含维生素的食物。,猪肉、牛肉、羊肉、猪排骨、鸡肉、莴苣、鸡肝、鲤鱼、鸡蛋、豇豆、山药、草鱼、猪蹄、香菇、卷心菜、豆腐、腐竹、竹荪、菜花、,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米、牛奶、鸡蛋,杏仁、核桃、芝麻桂圆、腰果、木瓜、苹果、葡萄、花生、猕猴桃、牛奶、荔枝、芒果、桃、蜂蜜、黑芝麻、酸奶、松子仁,,,
20,,精神,精气神,富含蛋白质之物；宜食富含维生素与微量元素之物。,红薯、韭菜、鸡蛋、海带、紫菜、芹菜、西兰花、苦瓜、冬瓜、黄瓜、丝瓜、芥菜、香菇、豆角、油麦菜、小白菜、白菜、茄子、芋头、卷心菜、菜花、南瓜、西红柿、土豆、豇豆,糯米、黑米、黄米、小麦粉、小米、大米、绿豆、玉米面,糯米、黑米、黄米、小麦粉、小米、大米、绿豆、玉米面、牛奶、鸡蛋,红枣、红薯、枸杞、花生、蜂蜜、核桃、火龙果、杨桃、樱桃、橘子、柚子、香梨、菠萝、西瓜、柠檬、苹果、草莓、芒果、木瓜、猕猴桃,辛辣、过咸的食物；忌食寒凉、油腻食物；忌食不易消化的食物。,蚕豆、猪皮,
21,,精神,自卑感,饮食均衡；宜多食蔬果。,木耳、西红柿、卷心菜、黄瓜、胡萝卜、白菜、茄子、芋头、卷心菜、菜花、南瓜、西红柿、土豆、豇豆、韭菜,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米、牛奶、鸡蛋,杏仁、绿茶、火龙果、杨桃、樱桃、橘子、柚子、香梨、菠萝、西瓜、柠檬、苹果、草莓、芒果、木瓜、猕猴桃,煎炸之物；忌食甜饮；忌食高热量食物。,,
22,,精神,孤独感,饮食均衡；宜多食蔬果。,木耳、西红柿、卷心菜、黄瓜、胡萝卜、白菜、茄子、芋头、卷心菜、菜花、南瓜、西红柿、土豆、豇豆、韭菜,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米、牛奶、鸡蛋,杏仁、绿茶、火龙果、杨桃、樱桃、橘子、柚子、香梨、菠萝、西瓜、柠檬、苹果、草莓、芒果、木瓜、猕猴桃,煎炸之物；忌食甜饮；忌食高热量食物。,,
23,,精神,空虚感,饮食均衡；宜多食蔬果。,木耳、西红柿、卷心菜、黄瓜、胡萝卜、白菜、茄子、芋头、卷心菜、菜花、南瓜、西红柿、土豆、豇豆、韭菜,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米,黑豆、黑芝麻、糯米、燕麦片、荞麦、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米、牛奶、鸡蛋,杏仁、绿茶、火龙果、杨桃、樱桃、橘子、柚子、香梨、菠萝、西瓜、柠檬、苹果、草莓、芒果、木瓜、猕猴桃,煎炸之物；忌食甜饮；忌食高热量食物。,,
24,,精神,焦虑感,鱼和坚果。,菠菜、鸡肉、海带、鸡蛋、芹菜、南瓜、草鱼、鲫鱼、鲤鱼、鲈鱼、鳕鱼、猪肉、牛肉、兔肉、鸡肉、鸭肉、白菜、扁豆、豆腐、黄瓜、西兰花,粳米、小麦、小麦粉、绿豆、大米、小米、荞麦、燕麦片,粳米、小麦、小麦粉、绿豆、大米、小米、荞麦、燕麦片、牛奶、鸡蛋,香蕉、红枣、樱桃、苹果、牛奶、葡萄、樱桃、柠檬、苹果、木瓜、橙子、荔枝,高脂食物；忌食高盐分的调味食品；忌食太甜的食物。,冰淇淋、香肠、火腿、巧克力,
25,,精神,抑郁感,蔬果、主食、对肝脏有益的食物。,海带、木耳、紫菜、河蟹、虾米、猪肉、牛肉、羊肉、鸡蛋、鸭蛋、苦瓜、油菜、豇豆,玉米面、小米、黑米、黑豆、赤小豆、小麦、小麦粉、大米、大麦、燕麦片、荞麦,玉米面、小米、黑米、黑豆、赤小豆、小麦、小麦粉、大米、大麦、燕麦片、荞麦、牛奶、鸡蛋,南瓜子仁、红枣、猕猴桃、山楂、橘子、香蕉,含有刺激性的食物、油炸烧烤类食品及垃圾食品。,乳酪罐头、鲱鱼、鲑鱼、茶、咖啡,
26,,精神,衰老感,新鲜的蔬菜和水果；宜食富含蛋白质的食物；宜食富含硒、核酸的食物。,鸡蛋、木耳、芹菜、苦瓜、冬瓜、黄瓜、菠菜、丝瓜、芥菜、香菇、豇豆、豆角、胡萝卜、油麦菜、小白菜、白菜、芋头、红薯、卷心菜、紫菜、海带、洋葱、西红柿、西兰花、山药、土豆、茄子,粳米、小麦、小麦粉、绿豆、大米、小米、燕麦片、荞麦、糯米,粳米、小麦、小麦粉、绿豆、大米、小米、燕麦片、荞麦、糯米、牛奶、鸡蛋,杏仁、花生、核桃、牛奶、酸奶、葡萄干、蜂蜜、红枣、猕猴桃、火龙果、杨桃、香梨、菠萝、葡萄、苹果、芒果、草莓、香蕉、桑葚、西瓜、木瓜、荔枝、柠檬、橘子、柚子、石榴、樱桃,煎炒、油炸食物；忌食辛辣、甜腻、刺激类食物；忌食生冷食物。,松花蛋、冰淇淋、蚕豆,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
