序号,人群,部位,自修项目,方法分类,方法名称,原料,制作方法,使用方法,
1,,整体,减肥塑形,药用奇方,茉莉花茶,茉莉花10克，玫瑰花10克，荷叶10克，草决明10克，枳壳10克，泽兰12克，泽泻12克，桑葚15克，补骨脂15克，何首乌15克。,上药用水煎。,\t每日1剂，每剂分2次代茶饮。,
2,,整体,减肥塑形,食疗药膳,黑木耳,黑木耳15-30克。,将黑木耳洗净，炖汤服，不加糖。,\t随意饮用。,
3,,整体,减肥塑形,食疗药膳,蜂蜜黄瓜汁,黄瓜200克，冬瓜200克，山揸50克，新橘皮30克，蜂蜜适量。,将黄瓜、冬瓜（去皮瓤）、山揸（去核）、橘皮洗净切成长块，用榨汁机榨取原汁，加入蜂蜜调匀。,\t每日1剂，当饮料饮用。,
4,,整体,减肥塑形,药用奇方,何首乌,何首乌10克，泽泻10克，丹参10克，绿茶10克。,将上4味加水煎，取汁。,\t每日1剂，代茶饮。,
5,,整体,减肥塑形,药用奇方,健美茶,山楂，厚朴，陈皮，枳实，六神曲，火麻仁。,每次10克，水煎代茶或开水冲泡饮服。,\t随意饮用。,
6,,整体,减肥塑形,药用奇方,健美茶（减肥）,普洱茶，乌龙茶，莱菔子，茯苓等。,每次1小袋，放入杯内开水冲泡，2-3分钟即可饮用。,\t每日饮用2袋。,
7,,整体,减肥塑形,食疗药膳,减脂茶,绿茶，山楂，荷叶等。,每次10克，开水冲泡或水煎代茶饮用。,\t每日2-3次。,
8,,整体,减肥塑形,食疗药膳,三花减肥茶,荷叶，番泻叶，玫瑰花，玳玳花，茉莉花，牵牛子。,每次10克，开水泡饮。,\t每日3次。,
9,,整体,减肥塑形,食疗药膳,减肥健身茶,决明子，山楂。,每次1包，开水冲泡。,\t每日3次。,
10,,整体,减肥塑形,食疗药膳,姬宝减肥茶,茶叶，盐百乐，南山楂，小豆花，茯苓，赤小豆。,用热开水冲饮，每次1小袋。,\t每日1-3次。,
11,,整体,减肥塑形,食疗药膳,宁红保健茶,上等宁红茶、决明子、山楂、山药等。,保健茶每日1小包；治疗每日2-4小包，开水冲泡，多次饮用。,\t随意饮用。,
12,,整体,减肥塑形,食疗药膳,荷叶灰饮,荷叶适量。,烧存性，研末，每次服6克，米饮调下。,\t每日3次。,
13,,整体,减肥塑形,食疗药膳,冬瓜羹,冬瓜。,作羹作腌菜。,\t经常食用。,
14,,整体,减肥塑形,食疗药膳,问荆茶,问荆，荷叶。,每次3克，开水冲泡代茶饮用。,\t随意饮用。,
15,,整体,增高,按摩疗法,自我按摩,,,\t1.干沐浴。只穿内衣，按摩全身。\n\t2.湿毛巾擦2分钟。\n\t3.捋、擀、拿、推。从四肢根部向末端推拿。,
16,,整体,增高,按摩疗法,极向按摩,,,\t睡觉前几分钟，肚脐是黄金点，是重要的通道和标志，分上下阴阳，上身向上按摩，下身向下按摩，10~20次。,
17,,整体,增高,气功疗法,混元潜能按摩,,,\t运用手法在人体皮、肉、筋、脉、骨自如的产生松紧、收放、开合的传导，放松肉体、血管，打开毛细血管及微循环。一般的体育运动只打开几百条微循环，普通按摩打开约一千条，高级的上万条，深度气功入定则可打开数万条至十万条微循环。与此同时，时刻感知病人内在气血、信息和身体的变化，随时调整自己的手法、能量强弱，及调动的方向，加速病人体内空间的能量重新组合新生、旺盛、健康。,
18,,整体,增高,气功疗法,点穴按摩,,,\t\t1. 准备：患者取俯卧式，腰带解开，闭目，全身放松。\n\t2. 取穴：百会、风池、率谷、大椎、身柱、神道、至阳、命门、腰俞、承扶、委中、承筋、昆仑、涌泉等穴。\n\t3. 手法：点按法、振颤法等。\n\t4. 患者取仰卧式，闭目，全身放松。\n\t5. 取穴：上星、天突、华盖、膻中、神阙、膝眼、足三里、悬钟、解溪、照海、侠溪等穴。\n\t6. 手法：点按法、振颤法等。,
23,,五官,眼睛浮肿,食疗药膳,粳米粥,葱白10克，鲜车前菜60克，粳米60克，瘦肉30克。,将车前菜洗净，沥干水分，切成小段，与葱白一起水煎后过滤除渣取汁。将瘦肉洗净，剁成细末，与粳米、药汁一起放入锅内，先用大火煮沸后，改用小火煮成稀粥。忌用精盐。,\t每日1剂，每日早、晚各服1次，连续服用3-5天。,
24,,五官,眼睛浮肿,外用偏方,脱脂牛奶敷眼睛,化妆棉、脱脂牛乳各适量。,用化妆棉在冷的脱脂牛乳中，然后拿出放在眼皮上。,\t每日2次，每次10分钟。,
25,,五官,眼睛浮肿,外用偏方,鲜芝麻汁,鲜芝麻适量。,将芝麻捣烂并绞取油汁。,\t每晚临睡前用棉签蘸芝麻油涂于眼睑上。,
26,,五官,眼球晦暗,食疗药膳,枸杞菊花茶,枸杞15克，菊花10克。,以上2味煎汤。,\t代茶饮，长期饮用。,
27,,五官,眼球晦暗,食疗药膳,枸杞子,杞子250克。,将枸杞子焙干，研成细末。,\t每晚服用9克，温开水送服。,
28,,五官,迎风流泪,食疗药膳,桑葚西红柿,桑葚子20克，西红柿1个。,将以上2味一同捣烂。,\t一次吃完，每日食用2次。,
29,,五官,眼袋,食疗药膳,胡萝卜汁,胡萝卜250克，甜橙1个，蜂蜜适量。,将胡萝卜洗净切成小块，甜橙洗净对半剖开，分别用榨汁机榨取原汁，加入蜂蜜调成饮料，每日1剂。,\t空腹当茶喝。,
30,,五官,眼袋,外用偏方,柿子外敷,新鲜柿子1个。,将柿子洗净拭干，剥下柿皮.,\t敷贴双眼眼睑上，敷30分钟去除。每日1-2次。,
31,,五官,眼袋,外用偏方,苹果外敷,苹果适量。,将苹果洗净切片。苹果含汁量越高越好。,\t敷上眼15分钟后用水洗净。,
32,,五官,眼袋,外用偏方,茶叶外敷,袋装茶叶1包。,将茶包泡过后压去茶汁。,\t茶叶袋外敷患处。,
33,,五官,眼袋,外用偏方,马铃薯外敷,马铃薯（长芽的不可使用）适量。,将马铃薯去皮洗净，切成约2厘米的厚片。,\t外敷眼部5分钟后，用清水洗净。,
34,,五官,黑眼圈,食疗药膳,胡萝卜汁,胡萝卜250克，甜橙1个，蜂蜜适量。,将胡萝卜洗净切成小块，甜橙洗净对半剖开，分别用榨汁机榨取原汁，加入蜂蜜调成饮料，每日1剂。,\t空腹当茶喝。,
35,,五官,黑眼圈,外用偏方,柿子外敷,新鲜柿子1个。,将柿子洗净拭干，剥下柿皮.,\t敷贴双眼眼睑上，敷30分钟去除。每日1-2次。,
36,,五官,黑眼圈,外用偏方,苹果外敷,苹果适量。,将苹果洗净切片。苹果含汁量越高越好。,\t敷上眼15分钟后用水洗净。,
37,,五官,黑眼圈,外用偏方,茶叶外敷,袋装茶叶1包。,将茶包泡过后压去茶汁。,\t茶叶袋外敷患处。,
38,,五官,黑眼圈,外用偏方,马铃薯外敷,马铃薯（长芽的不可使用）适量。,将马铃薯去皮洗净，切成约2厘米的厚片。,\t外敷眼部5分钟后，用清水洗净。,
39,,五官,睫毛短且稀疏,外用偏方,眼睫毛增长剂,芝麻油适量。,取新压制芝麻油。,\t每夜将眼睫毛涂上芝麻油。,
40,,五官,口臭,食疗药膳,橘皮水,橘皮30克。,将橘皮洗净，切成细丝，用水煎煮当茶饮。,\t每日1剂，饮用数次。,
41,,五官,口臭,食疗药膳,芦根饮,鲜芦根100-120克，冰糖30-50克。,将芦根洗净，切成小段，放入碗内，加入冰糖和少许水，隔水炖煮后，过滤去渣留汁当茶饮。,\t每日饮数次。,
42,,五官,口臭,外用偏方,莴苣菜,莴苣菜适量。,将莴苣菜洗净后，用淡盐水浸泡一下。,\t取莴苣菜生嚼，每日数次。,
43,,五官,口臭,食疗药膳,柚子,柚子1个。,,\t将柚子去皮剥瓣，食用柚子肉。,
44,,五官,口臭,外用偏方,茶叶,茶叶少许。,,\t将茶叶放入口中嚼烂，含3-5分钟后吐掉，每日2-3次。,
45,,五官,牙齿黑黄,外用偏方,醋去牙垢,食醋适量。,,\t含半口食醋，在口里蠕动二三分钟，然后吐出，再用牙刷刷洗，最后用清水洗。,
46,,五官,牙齿黑黄,起居指导,醋去牙垢法,食醋适量。,,\t含半口食醋，在口里蠕动二三分钟，然后吐出，再用牙刷刷洗，最后用清水洗。,
47,,五官,牙齿黑黄,起居指导,食盐苏打洁齿,食盐、苏打各等量。,上物加水调成糊状。,\t每日刷牙1～2次。,
48,,五官,牙齿黑黄,外用偏方,除垢白牙方,红糖适量，食盐、食碱各30克。,用500毫升清水掺食盐、食碱各30克，配制好盐碱水，备用。,\t取适量红糖放在嘴里含10多分钟，使全口牙齿都浸在糖液中，再取比较硬实的牙刷，反复刷2～3分钟后漱口。然后再用配制好的碱水，刷牙1～2分钟。,
49,,五官,牙齿黑黄,起居指导,仙方地黄散,皂角60克，干姜60克，升麻60克，槐角子60克，生地60克，木律60克，细辛60克，旱莲草60克，白芷60克，荷叶60克，青盐（另研）30克。,上药剉碎，用锅子内烧，有青烟，存性为度，用纱罗重罗，另研青盐末和匀，同入药内。,\t每用少许刷牙，合口少时，有涎即吐，然后用温水漱口，早晨及临卧用。,
50,,五官,牙齿黑黄,外用偏方,常使齿药玉池散,升麻30克，藁本30克，甘松30克，菵草30克，白芷30克，川芎30克，细辛60克，生地(焙)60克，麝香(另研)3克，地骨皮30克，皂角(刮去皮，烧存性)90克，青盐60克。,上药研为细末，再入麝香，搅拌均匀。,\t每日早晚搽牙，如常使用。,
51,,五官,牙齿黑黄,起居指导,御前白牙散,石膏120克，香附30克，白芷22克，甘松12克，山奈12克，藿香12克，沉香12克，川芎12克，零陵香12克，细辛1.5克，防风1.5克。,石膏另研末，其余药共研为细粉，共调匀。,\t刷牙用。,
52,,五官,牙齿松动,起居指导,药用漱口水,生大黄30克，熟大黄30克，生石膏30克，熟石膏30克，骨碎补30克，杜仲30克，青盐30克，食盐30克，明矾15克，枯矾15克，当归15克。,上药研为细末。,\t每日早起以此散搽牙根，然后净面，净毕用冷水漱口。,
53,,五官,牙齿松动,药用奇方,地黄酒酥,地黄（切碎、捣取汁）适量，杏仁麻子仁(约为地黄量的1/10)、神曲末(地黄量的1/30)。,地黄汁浸麻子仁末，研取汁，再与杏仁末研，取汁和浸神曲末7日，煮沸。用米适量，以药汁和（食贲）酿酒，密封21日，酥在酒上，其色如金。如酥，另取酒封之。,\t先服食酒糟，糟尽食酥及酒，酥一匙，酒适量。,
54,,五官,牙齿松动,食疗药膳,固齿防酸方,胡桃肉适量。,,\t食之。,
55,,五官,牙齿松动,起居指导,劳牙散刷牙,乌头30克，皂角(去皮、子)30克，生地黄30克。,上药同研为粗末，用生姜自然汁揉合成丸子如鸡蛋大。用槐枝生火，放此丸药在火中烧，待烧至烟尽而透，将丸子取出放干净地上用碗盖1夜，次日将丸药研为极细末。另以细辛(研末)、青盐各9克，胆矾末、白矾末各6克，合同前丸药末研同研备用。,\t每用时以牙刷蘸药少许，加水刷牙，1日3次。,
56,,五官,牙齿松动,药用奇方,五老还童丸,山药200克，牛膝(酒浸)200克，远志(去心)200克，山萸肉200克，茯苓(去皮)200克，五倍子200克，巴戟(去心)200克，肉苁蓉(酒浸，焙)200克，楮实200克，杜仲(去粗皮，姜汁和酒炙)200克，炒小茴香150克，枸杞150克，石菖蒲150克，熟地250克。,上为细粉，炼蜜为丸，如梧桐子大。,\t每服30-70丸，空腹温酒或淡盐汤送下，1日3次。,
57,,五官,牙齿松动,药用奇方,清胃汤,炒山栀5克，连翘(去心)5克，牡丹皮5克，黄芩5克，石膏2匙，生地(酒洗)1.5克，炒黄连1.5克，升麻3.5克，炒白芍3.5克，桔梗3.5克，藿香2.5克，甘草l克。,水煎。,\t饭后服用,
58,,五官,牙齿松动,药用奇方,滋阴清胃固齿丸,山药末50克，牡丹皮末50克，黄柏(酒炒为末)100克，黄连(酒炒为末)50克，升麻100克，当归末(酒洗)50克，元参末50克，干葛根末50克。,右用知母50克，山楂肉100克，煎滤汤去渣，净汁煮葛粉为糊，又用籼米一盏研烂，和葛粉同又研匀，调以上八味末为丸，如绿豆大，以水巨过，殊砂为衣，晒干。,\t每服15克，食后白汤送下。,
59,,五官,牙齿松动,起居指导,固齿延寿膏,珍珠(豆腐1块将珍珠纳其中)，桑柴火煮(炷香时间)25克，雄鼠骨(面作饼包，盐泥复包阴干，炭火烧红取骨)25克，龙骨25克，阳起石25克，象牙25克，鹿角霜25克，秋石10克，沉香10克，广木香12.5克，南川芎5克，怀熟地黄5克，白芍药5克，当归5克，乳香5克，没药5克，青盐7.5克，白芷2.5克，皂角2.5克，破故纸(炒香)1.5克，细辛1.5克。,上药除白蜡外，研末。白蜡化开，下药l份搅匀，以呈文纸将药散在纸上，以手擦药末，使纸上各处粘薄药末，以刀切条。,\t临卧贴于牙上，次早取出。,
60,,五官,牙齿松动,起居指导,太和散,胡同律9克，生地9克，白茯苓9克，细辛9克，川芎9克，升麻9克，白芷9克，麝香1.5克，青盐3克，皂角（烧存性）6克。,上药研为细末，青盐、麝香另研，搅拌均匀。,\t每次用药少许，以指蘸药搽牙病处。,
61,,五官,牙齿松动,外用偏方,五灵膏,五灵脂15克，松脂30克，黄蜡30克，黄丹0.3克，蟾酥0.5克。,上药同于瓷器中，以慢火熬成膏，摊于白熟绢上，冷后剪成小片。,\t每夜贴于牙龈上，有津即吐，误咽无妨。此药临卧时用一次，于恶硬物的牙根儿下里外贴之，亦不甚闷，若是牙儿坚固，自然得力，不恶硬物也。,
62,,五官,牙齿松动,外用偏方,牙疳散,人中白9克，儿茶9克，胡黄连9克，青黛6克，黄柏6克，芦荟3克，硼砂3克，冰片1.5克。,上药共研细末。,\t每次用药少许搽于患处，俟口内有涎水吐出，每日上药2-3次，自愈。,
63,,五官,牙齿松动,外用偏方,草乌头散,草乌头（炒，令黑紫色）30克，细辛3克。,上药延为细末。,\t每次用少许搽牙病处，后用手左右摇动，每日用3-5次，有津即吐，误咽无妨。,
64,,五官,牙齿松动,外用偏方,柳枝汤,柳枝(一握)，地骨皮30克，防风(去芦头)30克，生地黄30克，杏仁(汤浸，去皮尖)30克，蔓荆子30克，细辛30克，青盐15克。,上药研为粗末，每次用药30克，酒、水各一盏，煎至一盏去滓。,\t热漱冷吐，不拘时候。,
65,,五官,牙齿松动,外用偏方,莽草散,莽草180克，生姜180克，柳枝皮(取白)180克，牛膝(去苗)180克，胡蒜子180克，干地黄180克，菟丝子180克，没食子180克，桐子漆180克，猪牙皂角180克。,上药各剉如麻豆大，入藏瓶，盐泥固，火煅一日后，入地一尺二寸深埋，三伏时取出，露三夜，不得见日气，研罗为细散。,\t每次用手指蘸药于牙上旋搽。,
66,,五官,牙齿松动,药用奇方,生地黄,生地黄。,用绵裹生地黄。,\t口含。微嚼，味尽之后换一片继续口含。,
67,,五官,牙齿松动,起居指导,金主牙药,胆矾30克，金丝矾30克，滑石30克，砂仁9克，川芎9克，茶叶9克。,前3味药各研成细粉，后3味药共研成细粉，再将6味药和匀，装入瓶内密封备用。,\t每日早晚刷牙用。,
68,,五官,酒渣鼻,食疗药膳,冬瓜子仁散,冬瓜子仁（微炒）、柏子仁、茯苓、冬葵子（微炒）、枳实（麸炒微黄）各30克，栀子仁60克。,上药捣细筛为散。,\t每于食后，以粥饮调下6克。,
69,,五官,酒渣鼻,药用奇方,疗酒渣鼻奇方,枇杷叶、山栀仁、黄芩各60克，连翘120克。,上药为末，水糊丸，梧子大。,\t每服1.5克，白汤送下或作汤兼用之益妙。至头自觉冷，佳兆也。,
70,,五官,酒渣鼻,药用奇方,酒渣鼻即愈方,当归、苦参各120克。,上药为末，酒糊为丸，梧子大。,\t饭后热茶吞入10丸。,
71,,五官,酒渣鼻,食疗药膳,茶饮,凌霄花、山栀子。,等分上药为末。,\t茶调服，每服6克，日二服。,
72,,头发,发质干枯,药用奇方,乌须黑发药酒,当归30克，枸杞30克，生地30克，人参30克，莲心30克，五加皮15克，黑豆300粒，桑椹子30克，槐角子8克，何首乌30克（同黑豆九蒸九晒），旱莲草23克，没食子1/4对。,上述药材装入纱布袋内，与上好五加皮酒4000克共同放入坛中，密封，3周后即可饮用。把药取出晒干晾成末，加蜂蜜制成要玩，每丸10克。,\t每早晚用此药酒2盅送服药丸1丸。,
73,,头发,发质干枯,起居指导,南瓜籽油养发剂,南瓜籽油1份。,上味掺入普通头油9份。,\t用以梳头。,
74,,头发,发质干枯,起居指导,柠檬美发方,柠檬汁、白醋。,在清水中滴入柠檬汁数滴，白醋半匙。,\t洗头后用以漂洗头发，宜常用。,
75,,头发,发质干枯,起居指导,蛋白养发方,鸡蛋白半个（熟），硼酸适量。,上2味充分搅匀，洗发后当作护发素并配以适度按摩。,\t每周2次，宜常用。,
76,,头发,发质干枯,起居指导,一味木瓜油,木瓜500克。,上药之木瓜以麻油浸1月。,\t取油梳头。,
77,,头发,发质干枯,起居指导,合欢香波液,合欢花30克。,上药加水煎煮取汁液。,\t洗发宜常用。,
78,,头发,发质干枯,起居指导,玫瑰花浸油,玫瑰花适量，头油。,将玫瑰花浸头油中一周。,\t擦涂头发，1日2次。,
79,,头发,发质干枯,起居指导,民间染发剂,菱叶1把。,将菱叶洗净煎汤去渣。,\t用汤洗发。,
80,,头发,发质干枯,起居指导,米泔除垢法,米泔1盆。,取淘米时第2次淘米水。,\t用淘米水洗头，沐后再以温水清洗1遍。,
81,,头发,发质干枯,起居指导,茶水洗发液,隔夜茶、食盐少许。,将隔夜茶及食盐加入温水中搅匀,\t用茶水洗头，每周一次。,
82,,头发,发质干枯,起居指导,柠檬润丝精,新鲜柠檬半个，白开水一杯。,榨取新鲜柠檬汁液，加入白开水中摇和均匀备用。,\t每次洗发后，复以柠檬汁洗发，充分揉匀后将头发包起，15分钟后以清水洗净。,
83,,头发,发质干枯,食疗药膳,猪油姜酒煎,猪油、生姜各30克，黄酒60克。,生姜先煎取浓汁入猪油、黄酒文火煎沸约1小碗。,\t每次服用1/3碗,
84,,头发,发质干枯,起居指导,青木香外用,青木香0.3克，白芷0.3克，零陵香0.3克，甘松香0.3克，泽兰0.3克。,上药用绵裹酒渍再宿，内油里煎再宿，加腊泽斟量硬软，即火煎，着少许胡粉，烟脂汔，又缓火煎，令粘极，去渣作梃。,\t饰发。,
85,,头发,发质干枯,外用偏方,干洗头香白芷散,香白芷100克，王不留行100克。,为细末。,\t用干掺头发内，微用力擦去垢腻后，用篦子刮去药末。,
86,,头发,白发,食疗药膳,地黄酒,"肥地黄500克(捣碎)，糯米3750克(熟炊)，面曲2000克(捣碎)。
",将以上三种食材混合捣熟，放到瓮中密封，春夏季密封21天，秋冬季密封35天。到期后将瓮中的汁液倒出来即可饮用。,\t随意饮用。,
87,,头发,白发,药用奇方,百岁酒,"蜜炙黄芪60克，茯神60克，当归36克，熟地36克，生地36克，党参30克，麦冬30克，茯苓30克，白术30克，刺皮30克，川芎30克，炙龟板30克，防风30克，枸杞子30克，广陈皮30克，肉桂18克，五味子24克，羌活24克，红枣1000克，冰糖1000克。
",将以上药材一起研磨成粗末，红枣去核，浸入高粱酒中，以酒没过药材刚好，浸泡半个月后即可饮用。,\t20ml/次，2次/日,
88,,头发,白发,药用奇方,春寿酒,天门冬、麦门冬、熟地、生地、山药、莲肉、红枣各等分。,上述药浸泡谷酒中。,\t每日服一次，每次服30克。,
89,,头发,白发,药用奇方,黄精酒,黄精、白术各400克、天门冬300克，松叶600克，枸杞根300克。,上述药材研磨成细末，加入20公升水，煮至7公升，浸曲1千克，炊米7千克，酿酒，酿好后即可饮用。,\t随意饮用。,
90,,头发,白发,药用奇方,菖蒲酒,九节菖蒲（生捣绞汁）10000毫升，糯米100千克（炊饭），细曲2500克。,上述药材搅拌均匀，放入磁坛中，密封盖盖，21日后可开坛。,\t温服，每天三次,
91,,头发,白发,药用奇方,乌须黑发药酒,当归30克，枸杞30克，生地30克，人参30克，莲心30克，五加皮15克，黑豆300粒，桑椹子30克，槐角子8克，何首乌30克（同黑豆九蒸九晒），旱莲草23克，没食子1/4对。,上述药材装入纱布袋内，与上好五加皮酒4000克共同放入坛中，密封，3周后即可饮用。把药取出晒干晾成末，加蜂蜜制成要玩，每丸10克。,\t每早晚用此药酒2盅送服药丸1丸。,
92,,头发,白发,药用奇方,造酒乌须方,怀生地黄200克，大当归100克，小红枣肉150克，赤白首乌各500克（煮水制过），生姜汁200克，麦门冬50克（去心），胡桃肉150克，甘枸杞100克，莲肉150克，土蜜150克，糯米10000克。,用酒洗净地黄，将何首乌水洗去渣，和地黄一起煮，再用姜汁浸，以干为度，便将地黄捣烂，用10000毫升糯米加水做酒，余药如常，俟酒浆出，方以水调匀地黄，放到酒槽中，3天后，去糟，将前药切片入绢袋中，悬酒罈内，笋壳包封，勿令出气，放锅内，煮三柱香为度，后以酒罈埋土中三宿，去火毒。,\t任意饮三五杯。,
93,,头发,白发,药用奇方,五加酒方,五加皮、酒各适量。,五加皮夏用茎叶，冬用根皮，切细，装入袋中，用酒适量浸之，春秋7日，冬10日，去渣温服。,\t适量饮用，勿醉。,
94,,头发,白发,药用奇方,何首乌酒,赤白何首乌（大者，竹刀去皮）各90克，赤白茯苓各90克。,上不犯铁器，石臼内捣碎，绢袋盛之浸老酒内（酒约15000克），封固，蒸半小时，过百日饮之。,\t随意饮用。,
95,,头发,白发,药用奇方,白术酒,白术15000克（去黑皮）。,上药洗净捣碎，以东流水300升渍30日，压漉去渣，以汁在器中盛，浸曲如家酿造酒。,\t随意饮用。,
96,,头发,白发,药用奇方,地黄酒酥神方,地黄汁30000毫升，麻子1000克，杏仁1000克（去皮尖），曲米3000克，米30000克。,麻子捣末，以地黄汁研取汁，杏仁捣末加以曲米浸入地黄汁中浸七日。以米分作三次投下。及阅三日一投。如酿酒法，熟后密封三七日，其酥在酒中色黄如金，以物接取，然后取酒封之。,\t先食糟，糟尽服酒及酥，每服酒100毫升，酥一匙，乘温服之。,
97,,头发,白发,药用奇方,羊肾酒,生羊肾1对，沙苑蒺藜、桂圆肉、淫羊藿、仙茅（糯米汁泡去赤汁），薏仁各200克，花烧酒适量。,上药以酒浸7日。,\t随意饮用。,
98,,头发,白发,药用奇方,固本酒,生地、熟地、白茯苓（去皮）各100克，天冬、麦冬、人参各50克。,上药好黄酒浸3日，文武火煮1～2时。,\t空腹服3～5杯,
99,,头发,白发,药用奇方,首乌人参酒,何首乌20克，当归15克，人参10克，白酒500克。,浸泡半月，每饮25克。,\t2次/日,
100,,头发,白发,药用奇方,首乌酒剂,制首乌、熟地各30克，当归15克，白酒1000毫升。,浸泡。,\t15～30毫升/日,
101,,头发,白发,药用奇方,五精酒,黄精、白术各2000克，天门冬1500克，松叶3000克，枸杞子2500克。,上药五味，皆生者，纳釜中，以水15公斤煮之一日。去渣，以汁渍如曲酿法，酒熟取清饮之。,\t随意饮用。,
102,,头发,白发,药用奇方,龟板酒,龟板、黄芪各30克，当归40克，生地、茯神、熟地、党参、白术、麦冬、陈皮、山萸肉、枸杞、川芎、防风各15克，五味子、肉桂、羌活各10克。,将上药共研为细末，装入布袋内，浸在白酒里（以淹没布袋为宜），一周后即可饮用。,\t每日2次，每次饮25～50克。,
103,,头发,白发,外用偏方,蜜汁,蜜适量。,,\t剪爪甲搔令毛孔少出血，以蜜涂之。,
104,,头发,白发,外用偏方,换白令黑方,老生姜皮500克。,老生姜皮置于油腻不洁铛中，密盖之，勿令通气。令一精细人，曙色未分，便须缓煎之，尽1日，药成，置于瓷钵中细研。,\t以物点取药，如麻子大，先于白发根下，点药入肉。,
105,,头发,白发,药用奇方,养生酒,当归身、菊花各30克，龙眼肉250克，枸杞子120克，白酒浆3500克，好烧酒1500克。,上药前4味用一绢袋盛之，悬于坛中，再入2酒，封固藏月余。,\t随意饮用。,
106,,头发,白发,食疗药膳,黑发方,早藕。,取早藕食之。,\t随意食用。,
107,,头发,白发,起居指导,南瓜籽油养发剂,南瓜籽油1份。,上味掺入普通头油9份。,\t用以梳头。,
