序号,人群,部位,自修项目,方法分类,方法名称,原料,制作方法,使用方法,
108,,头发,白发,起居指导,柠檬美发方,柠檬汁、白醋。,在清水中滴入柠檬汁数滴，白醋半匙。,\t洗头后用以漂洗头发，宜常用。,
109,,头发,白发,起居指导,蛋白养发方,鸡蛋白半个（熟），硼酸适量。,上2味充分搅匀，洗发后当作护发素并配以适度按摩。,\t每周2次，宜常用。,
110,,头发,白发,起居指导,一味木瓜油,木瓜500克。,上药之木瓜以麻油浸1月。,\t取油梳头。,
111,,头发,白发,起居指导,木槿花洗头脸方,木槿花15克。,将木槿花煎汤去渣待温。,\t常用汤洗头脸。,
112,,头发,白发,起居指导,合欢香波液,合欢花30克。,上药加水煎煮取汁液。,\t洗发宜常用。,
113,,头发,白发,起居指导,玫瑰花浸油,玫瑰花适量，头油。,将玫瑰花浸头油中一周。,\t擦涂头发，1日2次。,
114,,头发,白发,起居指导,民间染发剂,菱叶1把。,将菱叶洗净煎汤去渣。,\t用汤洗发。,
115,,头发,白发,起居指导,染发方,石榴3个，醋3000克，水1500克。,上药共煮千沸即熟。,\t将头发洗净染发。,
116,,头发,白发,起居指导,染髭鬓白令黑发,酸浆、豆各适量。,以酸浆煮豆。,\t以酸浆煮豆洗发。,
117,,头发,白发,外用偏方,治头不白换髭方,老生姜皮1000克。,用刮老生姜皮，于铛中以文武火煎之，不得令过沸。其铛惟得多油腻者尤佳。更不须洗刷，便以姜皮置中，密固济，勿令通气。令一精细人守之。地色未分，便须缓煎之，不得令火急。如其人稍疲，即换人看火，一复时即成。置于瓷钵中，极细研之。,\t先以小物点取，如芝麻大。先于白发下点药，然后拔之，以手指熟捻之，令入肉。,
118,,头发,白发,起居指导,米泔除垢法,米泔1盆。,取淘米时第2次淘米水。,\t用淘米水洗头，沐后再以温水清洗1遍。,
119,,头发,白发,起居指导,茶水洗发液,隔夜茶、食盐少许。,将隔夜茶及食盐加入温水中搅匀,\t用茶水洗头，每周一次。,
120,,头发,白发,起居指导,柠檬润丝精,新鲜柠檬半个，白开水一杯。,榨取新鲜柠檬汁液，加入白开水中摇和均匀备用。,\t每次洗发后，复以柠檬汁洗发，充分揉匀后将头发包起，15分钟后以清水洗净。,
121,,头发,白发,食疗药膳,猪油姜酒煎,猪油、生姜各30克，黄酒60克。,生姜先煎取浓汁入猪油、黄酒文火煎沸约1小碗。,\t每次服用1/3碗,
122,,头发,白发,食疗药膳,黑芝麻粥方,黑芝麻25克，大米50克。,上2味按常法煮粥。,\t随意食用。,
123,,头发,白发,药用奇方,中山还童酒,马蔺子1000克（埋土三日取出），马蔺根1000克（洗，切片，用黄米20000毫升水煮成糜），陈曲2块（为末），酒酵子2碗。,上药共和一处做酒，待熟；另用马蔺子并根1000毫升，用水煮十沸，入酒内三日，每日搅匀去渣。,\t随意饮用。,
124,,头发,白发,药用奇方,乌须发酒,乌饭草及子适量。,净锅慢火熬成膏。,\t每次1匙，1日3次，温酒调服。亦可泡酒饮之。,
125,,头发,白发,食疗药膳,冬青子酒,冬青子1500克，糯米30000克。,上味拌匀蒸熟，以酒粬造酒，去渣煮熟。,\t随意饮5～7杯。,
126,,头发,白发,药用奇方,资生大造丸,人参、生地、枸杞子、菟丝子、五味子、覆盆子、楮实子、炙龟板各30克，鹿角胶、山药、补骨脂、川牛膝、杜仲、山茱萸、肉苁蓉各60克，紫河车l具，茯苓120克。,上药共为末，炼蜜为丸如梧子大。,\t每早服12克，日服2次。开水或盐汤送下。,
127,,头发,白发,外用偏方,五白玉粉散,大灰(即石灰煅红)、草节槐柳条(碎切炒)各75克，生蛤粉60克，铅粉30克，土粉15克，轻粉7.5克。,上药为细末。,\t临卧，先用浆水洗净头发，却用温水或茶水，调药涂头。适量涂髭发上，用荷叶贴住，绵帛拴裹，勿令通风。次早用皂荚水洗。,
128,,头发,白发,食疗药膳,鼓子花散,深色鼓子花500克，白芷、秦椒各250克，肉桂30克，熟干地黄60克。,上为细末，每服15克。,\t晨空腹用粥搅拌服用。,
129,,头发,白发,外用偏方,川椒泡酒外用,川椒120克。,上药用酒浸泡半月，密于室内。,\t每日随意搽发。,
130,,头发,白发,药用奇方,脂桃膏,补骨脂300克(拣净，黄酒浸一夕，蒸熟晒干为末)，胡桃肉600克(温水泡去捣如泥)，蜂蜜500克(白者更佳)。,先将蜂蜜人锅煎一、二滚，以前二味人蜜搅匀，收磁罐内。,\t饭前用酒调或开水200毫升服。,
131,,头发,白发,药用奇方,杞子茅香丸,枸杞子200克，茅香100克，干柿5枚。,上药干柿同茅香煮熟，晒干，枸杞子焙干，共研末，水泛为丸如梧子大。,\t每服50丸，每日3次。以茅香汤送服。,
132,,头发,白发,外用偏方,老姜外用,老姜皮500克。,刮老姜皮，置久用油腻锅中，不须洗刷，封固勿令通气。用细火慢慢加热，勿使姜皮焦黑，5至8小时后取出研为细末。,\t拔白发后，先以小物点麻子大人孔中，或先点发下，然后拔之，以指捻人。,
133,,头发,白发,药用奇方,李八伯杏金丹方,杏仁100千克。,取肥实杏仁100千克，以布袋盛用井花水浸三日。次入甑中，以帛覆之，上铺黄泥土5厘米。炊一日，去泥，取出，又于粟中炊一日，又于小麦中炊一日。压取油5000毫升，澄清，用银瓶一只，打如水瓶样。如无银者用好砂罐为之。人油在内，不得满。又以银园叶可银瓶口大小盖定，销银汁，灌固口缝，人于大釜中，煮七复，时常拔动，看油结。打开取药，人器内，火消成汁，倾出，放冷，其色如金。后人臼中捣之，堪丸如黄米大。,\t早晚空腹以酒或津液送服二十丸。,
134,,头发,白发,食疗药膳,加味苍术膏,苍术5000克，人参、生地、熟地、黄柏、远志、杜仲、川芎、胡桃肉、川椒、破故纸、当归、姜各120克，青盐60克，牛砂30克，旱莲汁500克，白蜜1000毫升。,上药将苍术捣如泥人大锅内，用水6500克，以文武火煮至3000克，两层纱布过滤取汁人瓷罐。余药为末人苍术膏内封固，置人大锅水煮2小时，取出埋入土中7日。,\t每取60-90毫升，空腹以酒或开水送下。每日2次。,
135,,头发,白发,起居指导,青木香外用,青木香0.3克，白芷0.3克，零陵香0.3克，甘松香0.3克，泽兰0.3克。,上药用绵裹酒渍再宿，内油里煎再宿，加腊泽斟量硬软，即火煎，着少许胡粉，烟脂汔，又缓火煎，令粘极，去渣作梃。,\t饰发。,
136,,头发,白发,外用偏方,干洗头香白芷散,香白芷100克，王不留行100克。,为细末。,\t用干掺头发内，微用力擦去垢腻后，用篦子刮去药末。,
137,,头发,脱发,外用偏方,滋发生发露,新鲜大蒜5克（干蒜粉末1克），水300毫升（或无水乙醇100毫升）。,蒜入水搅匀煮沸，浓缩至100毫升，或放入无水乙醇中搅匀，静置24小时过滤，以水稀释100～1000倍。,\t涂发根处。,
138,,头发,脱发,外用偏方,南瓜藤汁外用,南瓜藤取汁。,剪断南瓜藤，以清洁容器取其汁。,\t蘸汁涂发秃处，即生。,
139,,头发,脱发,外用偏方,川椒泡酒外用,川椒120克。,上药用酒浸泡半月，密于室内。,\t每日随意搽发。,
140,,头发,脱发,药用奇方,杞子茅香丸,枸杞子200克，茅香100克，干柿5枚。,上药干柿同茅香煮熟，晒干，枸杞子焙干，共研末，水泛为丸如梧子大。,\t每服50丸，每日3次。以茅香汤送服。,
141,,头发,脱发,药用奇方,熟地枸杞沉香酒,熟地、枸杞各60克，沉香6克，白酒或米酒1000克。,浸泡封盖10天。,\t每次服1小杯，日3次。,
142,,头发,脱发,外用偏方,治发不生方,甜瓜叶适量。,上药杵汁。,\t涂抹。,
143,,头发,脱发,起居指导,广济生发膏外用,莲子草汁600毫升，熊白脂600克，猪髻膏200克，生麻油20毫升，山韭根600克，瓦衣(切)600克。,上7味，以铜器煎之，候膏成去渣收贮。,\t每欲梳头，涂膏。,
144,,头发,脱发,食疗药膳,生发粥,芝麻子2500克。,上味加水榨汁瓶贮。,\t每次取汁半酒杯入米煮粥频食之。,
145,,皮肤,皱纹,外用偏方,苹果蜂蜜方,苹果半个。,取苹果半个捣碎后，加蜂蜜1匙和麦粉少许调成糊膏状。,\t使用时将这种膏状物涂于面部，30分钟后用温水洗净。每周1～2次。,
146,,皮肤,皱纹,食疗药膳,大豆白芨粥,大豆300克，白芨9克，核桃仁9个，大米适量，白糖适量。,将大豆、白芨炒熟碾粉，用开水浸泡核桃仁5分钟后捞出，与浸泡一夜的大米混合碾碎，放在盆中，加水5-6杯，再浸泡后用纱布过滤；滤液倒入煮锅，加水三杯，与大豆白芨粉搅匀，加入白糖，煮成粥状,\t每日食用。,
147,,皮肤,皱纹,外用偏方,瓜蒌粉膏外敷,瓜蒌粉90克，杏仁30克（去皮），猪胰1具。,将上药共研如膏。,\t每晚将皮肤洗净后涂之。,
148,,皮肤,皱纹,外用偏方,防衰面脂,青木香、白附子、川芎、白蜡、香附子、零陵香、白芷各60克，茯苓、甘松香各30克，羊髓750克(炼)。,以上各植物药研成细末，用筛筛过，取极细粉末加水、酒各300毫升浸泡一夜，次晨放入锅内用小火煎至水、酒仅存三分之一后，滤渣取液，调入羊髓和白蜡，趁热合匀，密器保存备用。,\t每早晚洗脸后取少许涂于皮肤。,
149,,皮肤,皱纹,食疗药膳,猪肤膏,猪皮60克，米粉15克，白蜂蜜30克。,新鲜猪皮去净毛，放人砂锅内，文火煨成浓汁后，再下白蜜、米粉熬成膏即成。,\t每服10克，每日3-4次，空腹食之。,
150,,皮肤,皱纹,外用偏方,面脂方,防风45克，川芎45克，白芷45克，白僵蚕45克，土瓜根45克，藁本45克，葳蕤45克，茯苓45克，白蔹45克，细辛45克，瓜蒌仁45克，桃仁（去皮尖）45克，蜀水花45克，当归45克，青木香45克，辛夷45克，鹅脂500克，羊肾500克，猪脂1000克。,将上药切细，用细白布包裹后，放1000毫升酒内浸渍一昼夜，内脂中，急火煎之，三上三下，然后用缓火煎一夜，药成去渣，以寒水石粉15克内脂中，以柳木搅拌均匀贮于容器中。,\t夜晚涂于皮肤，晨洗去。,
151,,皮肤,皱纹,药用奇方,阳春酒,人参、白术、熟地黄各25克，归身、天门冬、枸杞各15克，柏子仁、远志各12克。,上药用绢袋贮，以无灰好酒5斤，磁罐浸至一伏时。,\t每早午晚各饮一杯，热服。,
152,,皮肤,皱纹,药用奇方,八仙酒,当归、牛膝、生地、杜仲、枸杞、五加皮各100克，土茯苓200克。,上药打碎，浸酒30斤。,\t随意饮用。,
153,,皮肤,皱纹,药用奇方,八珍酒,当归（酒洗）、炒白术各150克，川芎、人参各50克，白芍（煨）、白茯苓（去皮）各100克，生地黄（酒洗）、红枣（去核）、核桃仁各200克，炙甘草75克，五加皮（酒洗，晒干）400克，好糯米酒40斤。,诸药咀片，入绢袋内，用酒煮约2炷香时间，埋净土中5日，取出静置约20天。,\t每日早、中、晚温服1～2盏。,
154,,皮肤,皱纹,药用奇方,李冢宰药酒,桃仁、杏仁（去皮尖）各500克，脂麻（去皮炒熟）500克，苍术（去皮）200克，白茯苓、艾（去筋）、薄荷、小茴香各15克，铜钱5文，荆芥50克。,为细末，炼蜜和，烧酒一大坛，入药煮2小时，将药煮散，厚纸封埋土中7日，取出。,\t空腹饮2～3杯。,
155,,皮肤,皱纹,药用奇方,马灌酒,天雄（生用）100克，蜀椒、商陆根、桂心、白蔹、茵芋、干姜、踯躅各50克，乌头1枚，附子120克。,(口父）咀，以绢袋装，盛酒6升浸泡，春夏5日，秋冬7日，去滓。,\t初服10毫升，稍加至40～60毫升；捣滓以散，酒服2克，日3次。,
156,,皮肤,皱纹,药用奇方,壮元酒,生天雄（去皮脐）、白蔹各150克，茵芋50克，炒蜀椒、羊踯躅各100克，生乌头（去皮脐）、生附子（去皮脐）、干姜各100克。,细锉，以酒120毫升渍，春夏5日，秋冬7日，去滓。,\t初服10毫升，稍加至60毫升，曝滓为散，服2克，日3次。,
157,,皮肤,皱纹,药用奇方,美容药酒,人参15克（或参须），益智仁15克，全当归20克，玉竹20克，天门冬20克，麦门冬20克，北五味子20克，炙黄精30克，制首乌30克，枸杞子30克，大生地30克。,将上药共为粗末，纱布袋贮装，用白酒2500毫升浸泡于瓶中，再加入白糖250克，浸泡10余天即成。,\t每日中晚餐各服20～30毫升，也可根据酒量适当增减。久服。,
158,,皮肤,皱纹,外用偏方,杏仁瓜蒌手膏,杏仁、瓜蒌瓤等量。,取上方共研末，用蜜糖调制成“手膏”。,\t常擦之。,
159,,皮肤,皱纹,药用奇方,补益和血酒,黄芪75克，党参75克，玉竹75克，红花45克，枸杞子75克。,将上药浸泡白酒2500毫升，一日后取出饮用。,\t随意饮用。,
160,,皮肤,皱纹,药用奇方,仙传种子药酒,白茯苓（去皮）500克，红枣（去核）250克，胡桃肉（去皮）300克，白蜂蜜（锅内熬滚前3味，搅匀，再以微火倾入瓷坛，加高烧酒15公斤，糯米白酒5公斤）3千克，黄芪（蜜炙）、人参、白术、川芎、炒白芍、生地、熟地、小茴、枸杞子、覆盆子、陈皮、沉香、木香、官桂、砂仁、甘草各75克，乳香、没药、五味子各15克。,为细末，入坛和匀，笋叶封口，面外固封，入锅内大柴火煮2炷香时间，取出埋土中3日去火气。,\t每日早晚饮数杯。,
161,,皮肤,皱纹,外用偏方,白雪膜,鲜鸡蛋3个。,将鸡蛋浸入好酒内，封存28天后。,\t每晚临卧前以鸡蛋清敷于皮肤，次日晨洗去。,
162,,皮肤,皱纹,外用偏方,天然美容浆,蛋黄1个，蜂蜜半汤匙，橄榄油1汤匙，柠檬汁3-4滴。,上方充分混合，搅拌成泥浆状。,\t使用前，先用热毛巾把脸敷一下，再把调好的美容浆液涂在皮肤上(眉毛及近睫毛处不要擦)，躺下后休息15-20分钟，再用清水洗去。秋冬季节每周做2-3次。连续使用一段时间。,
163,,皮肤,皱纹,外用偏方,蛋清面膜,蛋清。,,\t把皮肤洗净，在面部、颈部均匀地涂上蛋清，15-20分钟后洗去。,
164,,皮肤,皱纹,食疗药膳,红颜酒,胡桃肉120克（捣碎），小红枣120克（捣开），杏仁30克（泡去皮尖煮四、五沸，晒干研碎。），白蜜100克，酥油70克。,用好烧酒1000毫升，先以蜜、油溶开入酒，随将三味药入酒内浸七日后即成。,\t每早晚空饮1～2盅。久服。,
165,,皮肤,皱纹,食疗药膳,爱情蜜汁,燕窝9克，蜜枣6枚。,将燕窝清水泡开去杂质，与蜜枣置锅中，加900毫升水煮成300毫升。,\t饮用，每10日1次。,
166,,皮肤,皱纹,食疗药膳,桃花酒,桃花500克，白酒1000毫升。,将桃花浸入酒内。,\t适量饮用。,
167,,皮肤,皱纹,食疗药膳,生枸杞子酒,生枸杞子2升。,枸杞子以清酒搦碎，更添酒浸7日，滤去滓。,\t适量饮用。,
168,,皮肤,皱纹,食疗药膳,美容葡萄酒,葡萄干500克（研细末），糯米5000克（淘洗干净）。,糯米放木甑内蒸熟后，与葡萄末合匀，倾入瓷器中，加入适量的米酒（按家常做米酒之法），外加棉被覆盖保温。待酒酿至香甜后，倒出服用。,\t每早晚各服1小碗（约100克）。,
169,,皮肤,皱纹,药用奇方,逡巡酒,桃花（三月三日收）175克，马蔺花（五月五日收）275克，芝麻花（六月六日收）330克，黄甘菊花（九月九日收）495克，腊水（二十月八日取）30升，桃仁（春分时取）49枚（去皮尖），白面5千克。,以面同前花和，纸包49日，用时白水一瓶、曲一丸、面一块封，良久成矣，如淡再加一丸。,\t长期服用。,
170,,皮肤,皱纹,食疗药膳,二仙酒,龙眼肉500克，桂花蕊200克，砂糖400克，烧酒1坛。,上药浸酒内。,\t随意饮用。,
171,,皮肤,皱纹,食疗药膳,山药酒,山药适量。,用山药于砂盒中研细，入铫加酥1大匙，熬香，入酒1盏调合。,\t空腹饮用。,
172,,皮肤,皱纹,药用奇方,美生酒,当归（酒洗）、甘菊花各50克，龙眼肉400克，枸杞子200克，白酒浆3500克，滴烧酒1500克。,药以绢袋盛，悬放入坛中，入酒封固月余。,\t随意饮用。,
173,,皮肤,皱纹,药用奇方,徐国公仙酒,烧酒1坛，龙眼肉1000～1500克。,入酒浸泡。,\t早晚随量饮用。,
174,,皮肤,皱纹,外用偏方,橘皮黄豆汁,黄豆适量，橘皮10克。,将黄豆、橘皮煮水取汁。,\t每晚临卧前用此汁涂抹脸部和手部。,
175,,皮肤,皱纹,外用偏方,栗皮涂药,栗皮50克。,将栗皮研成细粉，用蜜调匀。,\t涂于面部。,
176,,皮肤,皱纹,外用偏方,面膜,苹果半个。,取苹果半个捣碎后，加蜂蜜1匙和面粉少许调成糊状。,\t使用时将这种糊状物涂于面部，30分钟后用温水洗去，每周1-2次。,
177,,皮肤,皱纹,外用偏方,香蕉护容剂,香蕉、鲜牛奶适量。,将成熟的香蕉和鲜牛奶搅拌，混合均匀后添加马铃薯粉，使之达到酸奶的浓度。此法适应干性皮肤。,\t使用时，将这种香蕉护容剂均匀地涂敷于面部，15～20分钟擦洗干净。每日一次，15天一个疗程，每隔一二个月可再重复一个疗程。,
178,,皮肤,皱纹,外用偏方,酵母护容剂,酵母50克。,取酵母50克，1汤匙小麦面粉，半汤匙糖，将它们溶于温水中并调成糊，待此糊发酵后即可使用。,\t使用时，把这种糊状物均匀地涂敷于面部并保持30分钟后，用清水洗脸。,
179,,皮肤,皱纹,外用偏方,橘子美容剂,橘子。,橘子连皮捣烂，放入工业酒精中（以浸没橘子为准），加适量蜜糖放一星期后过滤。,\t取其液涂面。亦可用橘子汁直接涂面。,
180,,皮肤,皱纹,外用偏方,柚子美容剂,柚子1个，脱脂奶粉、冰片适量。,柚子连皮捣烂，加适量奶粉，用冰片调成糊状。,\t用之敷面。,
181,,皮肤,皱纹,外用偏方,豆苗方,豆苗。,将豆苗压出的汁涂在面部，留存15分钟左右，然后用温水洗净，再涂上一层润肤霜。,\t每日一次，坚持使用数日。,
182,,皮肤,皱纹,外用偏方,蜂蜜面膜,蜂蜜、小麦粉。,在蜂蜜中加入适量小麦粉，加水调匀成糊状。,\t使用时将这种面膜均匀地涂敷于洗净的面部，15～20分钟再用水洗净。每周1～2次。,
183,,皮肤,皱纹,外用偏方,蛋黄面膜,鸡蛋黄1个。,"取鸡蛋黄1个，加少许麦粉或高岭土，再加适量纯净水调成糊状即可。
对于干性皮肤，可在蛋黄中配加1食匙蜂蜜和1食匙植物油（如橄榄油、桃仁油或玉米油）。","\t使用时，将这种蛋黄面膜均匀地敷于面部，15～20分钟后用水洗净。每周1～2次。
干性皮肤使用时先将洗净的面部涂上一层护肤膏，然后再涂上三层这种面膜，约半小时后用温水洗去。",
184,,皮肤,皱纹,外用偏方,蜂王浆美容剂,蜂王浆1份，甘油5份，白酒20份。,将上药加30份的纯净水和少量香料，充分混合，搅拌均匀后过滤即可。,\t用以涂面。,
185,,皮肤,皱纹,外用偏方,黄瓜减皱方,新鲜黄瓜。,将新鲜黄瓜切成小块，用白纱布榨汁,\t用药棉蘸汁涂擦面部（皱纹较深的部位要多擦）。,
186,,皮肤,皱纹,外用偏方,绿香蕉皮霜,绿香蕉皮。,绿香蕉皮用适量白酒浸泡（以没过香蕉皮为度）1～2月后过滤，得绿香蕉皮酒浸液，取这种酒浸液10份加0.6份的硼酸钠溶于25份水中；然后取15份凡士林、25份白油和25份蜂蜡，在搪瓷缸中混合并隔水加热熔化至75℃时，最后将水缓慢加入油中，边加边搅拌，搅冷至45℃滴几滴香精，混合后冷至室温即可。,\t每日擦脸、颈。,
187,,皮肤,皱纹,外用偏方,苹果蜂蜜,苹果半个。,取苹果半个捣碎后，加蜂蜜1匙和麦粉少许调成糊膏状。,\t使用时将这种膏状物涂于面部，30分钟后用温水洗净。每周1～2次。,
188,,皮肤,皱纹,外用偏方,人参杏仁方,人参精5滴，杏仁油5克，琥珀酸（丁二酸）微量。,上方混合，加50克凉开水，再加适量江米粉调制成糊状。,\t涂敷于皮肤，30分钟后用温水洗去。每周1～2次。,
189,,皮肤,皱纹,外用偏方,合面脂炼脂方,肥大猪脂。,以12月买极大猪脂，水渍7～8日，旦易水煎，取清脂投入水中。,\t每日涂于皮肤。,
190,,皮肤,皱纹,外用偏方,面上皱裂方,桃仁适量。,研为末，合猪脂熬数次。,\t晚上睡前涂抹皮肤。,
191,,皮肤,皱纹,外用偏方,丝瓜美容,丝瓜水。,把正在生长的丝瓜茎高于地面60厘米处拦腰切断。将上面的藤蔓去弃，使茎切口朝下，然后用一个玻璃瓶子把瓶口套在丝瓜茎的切口上，为了避免渗入雨水或虫子钻进去，瓶嘴要用铝薄片包起来，还要把瓶子在土中埋藏半截，不使瓶子倾倒，也便于丝瓜水畅通流进瓶中。为了多采汁液，必须选择丝瓜尚未成熟的时候进行。将采得的丝瓜水要放置一夜。,\t用纱布过滤后就可直接擦用,
192,,皮肤,皱纹,外用偏方,豆苗汁,豆苗。,豆苗压出的汁涂在皮肤上，留存15分钟左右，然后用温水洗净，再涂上一层润肤霜。,\t将每日一次，坚持使用数日。,
193,,皮肤,皮肤干裂,食疗药膳,大豆白芨粥,大豆300克，白芨9克，核桃仁9个，大米适量，白糖适量。,将大豆、白芨炒熟碾粉，用开水浸泡核桃仁5分钟后捞出，与浸泡一夜的大米混合碾碎，放在盆中，加水5-6杯，再浸泡后用纱布过滤；滤液倒入煮锅，加水三杯，与大豆白芨粉搅匀，加入白糖，煮成粥状,\t每日食用。,
194,,皮肤,皮肤干裂,外用偏方,瓜蒌粉膏外敷,瓜蒌粉90克，杏仁30克（去皮），猪胰1具。,将上药共研如膏。,\t每晚将皮肤洗净后涂之。,
195,,皮肤,皮肤干裂,外用偏方,防衰面脂,青木香、白附子、川芎、白蜡、香附子、零陵香、白芷各60克，茯苓、甘松香各30克，羊髓750克(炼)。,以上各植物药研成细末，用筛筛过，取极细粉末加水、酒各300毫升浸泡一夜，次晨放入锅内用小火煎至水、酒仅存三分之一后，滤渣取液，调入羊髓和白蜡，趁热合匀，密器保存备用。,\t每早晚洗脸后取少许涂于皮肤。,
196,,皮肤,皮肤干裂,食疗药膳,猪肤膏,猪皮60克，米粉15克，白蜂蜜30克。,新鲜猪皮去净毛，放人砂锅内，文火煨成浓汁后，再下白蜜、米粉熬成膏即成。,\t每服10克，每日3-4次，空腹食之。,
197,,皮肤,皮肤干裂,外用偏方,面脂方,防风45克，川芎45克，白芷45克，白僵蚕45克，土瓜根45克，藁本45克，葳蕤45克，茯苓45克，白蔹45克，细辛45克，瓜蒌仁45克，桃仁（去皮尖）45克，蜀水花45克，当归45克，青木香45克，辛夷45克，鹅脂500克，羊肾500克，猪脂1000克。,将上药切细，用细白布包裹后，放1000毫升酒内浸渍一昼夜，内脂中，急火煎之，三上三下，然后用缓火煎一夜，药成去渣，以寒水石粉15克内脂中，以柳木搅拌均匀贮于容器中。,\t夜晚涂于皮肤，晨洗去。,
198,,皮肤,皮肤干裂,药用奇方,阳春酒,人参、白术、熟地黄各25克，归身、天门冬、枸杞各15克，柏子仁、远志各12克。,上药用绢袋贮，以无灰好酒5斤，磁罐浸至一伏时。,\t每早午晚各饮一杯，热服。,
199,,皮肤,皮肤干裂,药用奇方,八仙酒,当归、牛膝、生地、杜仲、枸杞、五加皮各100克，土茯苓200克。,上药打碎，浸酒30斤。,\t随意饮用。,
200,,皮肤,皮肤干裂,药用奇方,八珍酒,当归（酒洗）、炒白术各150克，川芎、人参各50克，白芍（煨）、白茯苓（去皮）各100克，生地黄（酒洗）、红枣（去核）、核桃仁各200克，炙甘草75克，五加皮（酒洗，晒干）400克，好糯米酒40斤。,诸药咀片，入绢袋内，用酒煮约2炷香时间，埋净土中5日，取出静置约20天。,\t每日早、中、晚温服1～2盏。,
201,,皮肤,皮肤干裂,药用奇方,李冢宰药酒,桃仁、杏仁（去皮尖）各500克，脂麻（去皮炒熟）500克，苍术（去皮）200克，白茯苓、艾（去筋）、薄荷、小茴香各15克，铜钱5文，荆芥50克。,为细末，炼蜜和，烧酒一大坛，入药煮2小时，将药煮散，厚纸封埋土中7日，取出。,\t空腹饮2～3杯。,
202,,皮肤,皮肤干裂,药用奇方,马灌酒,天雄（生用）100克，蜀椒、商陆根、桂心、白蔹、茵芋、干姜、踯躅各50克，乌头1枚，附子120克。,(口父）咀，以绢袋装，盛酒6升浸泡，春夏5日，秋冬7日，去滓。,\t初服10毫升，稍加至40～60毫升；捣滓以散，酒服2克，日3次。,
